,Scenario,Replication,Cohort,Probability
0,1,1,3,0.008
1,1,1,4,
2,1,1,5,0.015384615384615385
3,1,1,6,0.014925373134328358
4,1,1,7,
5,1,1,8,0.00625
6,1,1,9,
7,1,1,10,0.014598540145985401
8,1,1,11,
9,1,1,12,0.016129032258064516
10,1,1,13,
11,1,1,14,
12,1,1,15,
13,1,1,16,
14,1,1,17,
15,1,1,18,
16,1,1,19,
17,1,1,20,
18,1,1,21,
19,1,1,22,
20,1,1,23,
21,1,1,24,
22,1,1,25,
23,1,1,26,
24,1,1,27,
25,1,1,28,0.03333333333333333
26,1,1,29,
27,1,1,30,0.03125
28,1,1,31,
29,1,1,32,
30,1,1,33,
31,1,1,34,
32,1,1,35,
33,1,1,36,
34,1,1,37,
35,1,1,38,
36,1,1,39,
37,1,1,40,
38,1,1,41,0.025
39,1,1,42,
40,1,1,43,
41,1,1,44,
42,1,1,45,
43,1,1,46,
44,1,1,47,
45,1,1,48,
46,1,1,49,
47,1,1,50,
48,1,1,51,
49,1,1,52,
50,1,1,53,
51,1,1,54,
52,1,1,55,
53,1,1,56,0.03225806451612903
54,1,1,57,
55,1,1,58,
56,1,1,59,
57,1,1,60,
58,1,1,61,
59,1,1,62,
60,1,1,63,
61,1,2,3,
62,1,2,4,0.014598540145985401
63,1,2,5,0.013888888888888888
64,1,2,6,0.006578947368421052
65,1,2,7,0.011695906432748537
66,1,2,8,0.02631578947368421
67,1,2,9,
68,1,2,10,
69,1,2,11,
70,1,2,12,
71,1,2,13,0.012738853503184714
72,1,2,14,
73,1,2,15,
74,1,2,16,0.012195121951219513
75,1,2,17,
76,1,2,18,
77,1,2,19,
78,1,2,20,
79,1,2,21,0.00684931506849315
80,1,2,22,0.01282051282051282
81,1,2,23,
82,1,2,24,0.012987012987012988
83,1,2,25,0.013513513513513514
84,1,2,26,
85,1,2,27,
86,1,2,28,
87,1,2,29,0.007462686567164179
88,1,2,30,
89,1,2,31,
90,1,2,32,
91,1,2,33,
92,1,2,34,
93,1,2,35,
94,1,2,36,0.015151515151515152
95,1,2,37,
96,1,2,38,0.014285714285714285
97,1,2,39,
98,1,2,40,
99,1,2,41,
100,1,2,42,
101,1,2,43,0.013157894736842105
102,1,2,44,
103,1,2,45,0.007692307692307693
104,1,2,46,0.014084507042253521
105,1,2,47,0.007352941176470588
106,1,2,48,
107,1,2,49,0.01639344262295082
108,1,2,50,0.015625
109,1,2,51,
110,1,2,52,0.013888888888888888
111,1,2,53,
112,1,2,54,
113,1,2,55,
114,1,2,56,0.058823529411764705
115,1,2,57,
116,1,3,3,
117,1,3,4,
118,1,3,5,0.007575757575757576
119,1,3,6,
120,1,3,7,0.007692307692307693
121,1,3,8,
122,1,3,9,
123,1,3,10,
124,1,3,11,0.017857142857142856
125,1,3,12,
126,1,3,13,0.014925373134328358
127,1,3,14,
128,1,3,15,
129,1,3,16,
130,1,3,17,
131,1,3,18,
132,1,3,19,0.014705882352941176
133,1,3,20,0.007352941176470588
134,1,3,21,0.014285714285714285
135,1,3,22,0.014925373134328358
136,1,3,23,
137,1,3,24,
138,1,3,25,
139,1,3,26,
140,1,3,27,
141,1,3,28,
142,1,3,29,
143,1,3,30,
144,1,3,31,
145,1,3,32,0.008620689655172414
146,1,3,33,
147,1,3,34,
148,1,3,35,
149,1,3,36,
150,1,3,37,0.008620689655172414
151,1,3,38,
152,1,3,39,
153,1,3,40,
154,1,3,41,
155,1,3,42,
156,1,3,43,
157,1,3,44,
158,1,3,45,
159,1,3,46,
160,1,3,47,
161,1,3,48,
162,1,3,49,
163,1,3,50,
164,1,3,51,
165,1,3,52,0.020833333333333332
166,1,3,53,
167,1,3,54,
168,1,3,55,
169,1,3,56,
170,1,3,57,
171,1,3,58,
172,1,3,59,
173,1,3,60,
174,1,3,61,
175,1,3,62,
176,1,3,63,
177,1,3,64,
178,1,3,65,
179,1,3,66,
180,1,3,67,
181,1,4,3,
182,1,4,4,
183,1,4,5,
184,1,4,6,0.006896551724137931
185,1,4,7,0.006493506493506494
186,1,4,8,0.006578947368421052
187,1,4,9,0.013333333333333334
188,1,4,10,
189,1,4,11,
190,1,4,12,
191,1,4,13,0.011764705882352941
192,1,4,14,0.006211180124223602
193,1,4,15,
194,1,4,16,
195,1,4,17,0.023255813953488372
196,1,4,18,
197,1,4,19,
198,1,4,20,
199,1,4,21,0.03164556962025317
200,1,4,22,
201,1,4,23,0.012987012987012988
202,1,4,24,0.012987012987012988
203,1,4,25,
204,1,4,26,0.01282051282051282
205,1,4,27,0.0273972602739726
206,1,4,28,
207,1,4,29,
208,1,4,30,0.017391304347826087
209,1,4,31,0.018518518518518517
210,1,4,32,
211,1,4,33,
212,1,4,34,
213,1,4,35,
214,1,4,36,
215,1,4,37,0.016129032258064516
216,1,4,38,0.014705882352941176
217,1,4,39,
218,1,4,40,
219,1,4,41,
220,1,4,42,
221,1,4,43,0.007142857142857143
222,1,4,44,
223,1,4,45,
224,1,4,46,
225,1,4,47,
226,1,4,48,0.014705882352941176
227,1,4,49,
228,1,4,50,0.00909090909090909
229,1,4,51,
230,1,4,52,
231,1,4,53,0.01694915254237288
232,1,4,54,
233,1,4,55,
234,1,4,56,
235,1,4,57,0.019230769230769232
236,1,4,58,
237,1,4,59,
238,1,4,60,
239,1,5,3,
240,1,5,4,
241,1,5,5,
242,1,5,6,
243,1,5,7,
244,1,5,8,0.007575757575757576
245,1,5,9,
246,1,5,10,0.015873015873015872
247,1,5,11,0.008333333333333333
248,1,5,12,
249,1,5,13,0.025
250,1,5,14,
251,1,5,15,0.016129032258064516
252,1,5,16,
253,1,5,17,
254,1,5,18,
255,1,5,19,
256,1,5,20,0.015151515151515152
257,1,5,21,
258,1,5,22,
259,1,5,23,
260,1,5,24,0.017543859649122806
261,1,5,25,
262,1,5,26,
263,1,5,27,
264,1,5,28,
265,1,5,29,
266,1,5,30,
267,1,5,31,0.018518518518518517
268,1,5,32,0.017857142857142856
269,1,5,33,
270,1,5,34,
271,1,5,35,
272,1,5,36,
273,1,5,37,
274,1,5,38,
275,1,5,39,
276,1,5,40,
277,1,5,41,
278,1,5,42,
279,1,5,43,0.025
280,1,5,44,
281,1,5,45,0.022727272727272728
282,1,5,46,
283,1,5,47,
284,1,5,48,0.024390243902439025
285,1,5,49,
286,1,5,50,0.027777777777777776
287,1,5,51,
288,1,5,52,
289,1,5,53,
290,1,5,54,
291,1,5,55,
292,1,5,56,
293,1,5,57,
294,1,5,58,
295,1,5,59,
296,1,5,60,
297,1,5,61,
298,1,5,62,
299,1,5,63,
300,1,5,64,
301,1,5,65,
302,1,5,66,
303,1,5,67,
304,1,5,68,
305,1,5,69,
306,1,6,3,
307,1,6,4,0.006756756756756757
308,1,6,5,
309,1,6,6,0.00684931506849315
310,1,6,7,0.012195121951219513
311,1,6,8,0.012658227848101266
312,1,6,9,
313,1,6,10,
314,1,6,11,0.00641025641025641
315,1,6,12,
316,1,6,13,
317,1,6,14,0.024691358024691357
318,1,6,15,
319,1,6,16,
320,1,6,17,
321,1,6,18,
322,1,6,19,
323,1,6,20,
324,1,6,21,0.012658227848101266
325,1,6,22,
326,1,6,23,
327,1,6,24,
328,1,6,25,
329,1,6,26,0.012658227848101266
330,1,6,27,
331,1,6,28,
332,1,6,29,
333,1,6,30,
334,1,6,31,
335,1,6,32,0.008
336,1,6,33,0.016260162601626018
337,1,6,34,
338,1,6,35,
339,1,6,36,
340,1,6,37,
341,1,6,38,
342,1,6,39,
343,1,6,40,
344,1,6,41,0.008620689655172414
345,1,6,42,
346,1,6,43,
347,1,6,44,0.017543859649122806
348,1,6,45,
349,1,6,46,
350,1,6,47,
351,1,6,48,
352,1,6,49,
353,1,6,50,
354,1,6,51,
355,1,6,52,0.02564102564102564
356,1,6,53,
357,1,6,54,
358,1,6,55,
359,1,6,56,
360,1,6,57,
361,1,6,58,
362,1,6,59,
363,1,7,3,
364,1,7,4,
365,1,7,5,0.006711409395973154
366,1,7,6,
367,1,7,7,
368,1,7,8,
369,1,7,9,
370,1,7,10,0.01904761904761905
371,1,7,11,
372,1,7,12,
373,1,7,13,
374,1,7,14,
375,1,7,15,
376,1,7,16,
377,1,7,17,
378,1,7,18,
379,1,7,19,
380,1,7,20,
381,1,7,21,0.026785714285714284
382,1,7,22,0.00980392156862745
383,1,7,23,
384,1,7,24,
385,1,7,25,
386,1,7,26,
387,1,7,27,
388,1,7,28,
389,1,7,29,0.030303030303030304
390,1,7,30,
391,1,7,31,
392,1,7,32,
393,1,7,33,
394,1,7,34,
395,1,7,35,
396,1,7,36,0.03571428571428571
397,1,7,37,
398,1,7,38,
399,1,7,39,
400,1,7,40,
401,1,7,41,
402,1,8,3,
403,1,8,4,0.019867549668874173
404,1,8,5,0.01875
405,1,8,6,0.02158273381294964
406,1,8,7,
407,1,8,8,0.013513513513513514
408,1,8,9,0.019736842105263157
409,1,8,10,
410,1,8,11,0.012658227848101266
411,1,8,12,
412,1,8,13,
413,1,8,14,0.006756756756756757
414,1,8,15,0.006711409395973154
415,1,8,16,
416,1,8,17,
417,1,8,18,
418,1,8,19,
419,1,8,20,0.011904761904761904
420,1,8,21,0.012345679012345678
421,1,8,22,
422,1,8,23,
423,1,8,24,
