,AgentID,Step,Age,Edu_level,Gender,Income,Generation,Cohort,Weight,Capital,Brut,Child1,Child2,Mother,Father,Partner,Education,Scenario,Replication,Child1_Edu,Child2_Edu,Child1_Income,Child2_Income,Mother_Edu,Father_Edu,Mother_Income,Father_Income
0,0,0,22,4,M,383.912,1,2,"[4, 9, 6]","[0.56, 0.456, 0]",263.0,525,722,,,71.0,Lower Tertiary,1,1,5,5,637.092,462.014,,,,
1,1,0,59,2,F,572.317,1,1,"[3, 7, 9]","[0.26, 0.608, 0]",,,,,,,Lower Secondary,1,1,,,,,,,,
2,10,0,35,3,F,361.28,1,2,"[9, 6, 4]","[0.57, 0.361, 0]",300.0,619,,,,486.0,Upper Secondary,1,1,5,,448.955,,,,,
3,100,0,17,3,M,611.264,1,3,"[4, 4, 8]","[0.42, 0.535, 0]",305.0,790,942,,,512.0,Upper Secondary,1,1,4,4,774.833,735.328,,,,
4,1000,29,0,4,M,758.568,5,7,"[4, 10, 9]","[0.56, 0.948, 0.709]",353.0,1177,1203,843,880,979.0,Lower Tertiary,1,1,3,3,790.502,781.487,3,1,141.328,713.025
5,1001,29,0,5,F,798.0,5,6,"[1, 9, 4]","[0.55, 0.948, 0.802]",400.0,1214,1242,856,867,1019.0,Upper Tertiary,1,1,4,3,750.745,729.31,3,4,238.678,164.423
6,1002,29,0,1,M,783.754,4,5,"[6, 2, 9]","[0.16, 0.588, 0.94]",470.0,1100,1157,811,878,932.0,Primary,1,1,2,2,171.888,35.796,4,5,777.289,776.001
7,1003,29,0,4,M,170.722,4,5,"[1, 9, 7]","[0.44, 0.203, 0.98]",490.0,1105,1130,792,849,915.0,Lower Tertiary,1,1,3,4,745.656,732.166,3,5,716.927,571.813
8,1004,29,0,4,F,233.538,5,7,"[8, 5, 6]","[0.72, 0.219, 0.752]",376.0,1361,1377,789,815,1135.0,Lower Tertiary,1,1,5,4,581.508,641.749,5,3,778.548,790.186
9,1005,30,0,3,F,380.214,5,7,"[1, 7, 1]","[0.33, 0.404, 0.922]",461.0,1231,1323,911,914,1065.0,Upper Secondary,1,1,3,4,135.017,591.372,5,3,726.858,529.671
10,1006,30,0,5,F,606.99,5,7,"[10, 9, 7]","[1.0, 0.721, 0.958]",478.0,1271,1290,854,830,1185.0,Upper Tertiary,1,1,3,1,748.689,760.31,4,4,231.443,263.21
11,1007,30,0,5,F,504.166,4,5,"[4, 3, 6]","[0.7, 0.41, 0.865]",429.0,1244,1278,840,882,1075.0,Upper Tertiary,1,1,4,4,242.806,192.19,5,4,677.819,659.486
12,1008,30,0,4,F,692.57,5,7,"[9, 2, 2]","[0.76, 0.519, 0.839]",417.0,1269,1346,857,874,1149.0,Lower Tertiary,1,1,5,5,601.027,376.026,3,3,165.481,773.882
13,1009,30,0,5,F,776.833,4,5,"[9, 5, 5]","[0.95, 0.728, 0.976]",486.0,1227,,872,881,1078.0,Upper Tertiary,1,1,5,,643.576,,4,4,193.254,156.701
14,101,0,23,5,F,380.95,1,2,"[3, 1, 9]","[0.65, 0.262, 0]",357.0,506,600,,,77.0,Upper Tertiary,1,1,4,5,150.82,512.854,,,,
15,1010,30,0,5,M,697.925,5,6,"[8, 9, 3]","[0.9, 0.829, 0.725]",361.0,1166,1253,887,926,965.0,Upper Tertiary,1,1,5,4,636.026,668.963,4,5,111.685,396.603
16,1011,30,0,4,F,614.866,4,6,"[5, 2, 1]","[0.6, 0.461, 0.835]",414.0,1218,1281,841,944,1087.0,Lower Tertiary,1,1,4,4,705.585,649.093,1,2,37.545,328.848
17,1012,30,0,3,M,75.575,5,7,"[7, 1, 3]","[0.51, 0.052, 0.825]",409.0,,,894,975,992.0,Upper Secondary,1,1,,,,,5,2,393.374,17.112
18,1013,30,0,4,F,271.481,4,6,"[4, 9, 10]","[0.56, 0.322, 0.837]",415.0,1241,1329,850,838,1137.0,Lower Tertiary,1,1,3,4,650.549,503.928,5,4,701.254,787.974
19,1014,30,0,5,F,788.482,5,7,"[7, 1, 1]","[0.85, 0.542, 0.885]",440.0,1255,1288,778,844,1070.0,Upper Tertiary,1,1,5,4,532.924,32.318,5,5,662.177,754.94
20,1015,30,0,4,M,786.505,4,6,"[1, 4, 7]","[0.44, 0.688, 0.992]",492.0,1252,1275,836,846,997.0,Lower Tertiary,1,1,5,3,376.968,157.403,5,4,745.975,790.229
21,1016,30,0,2,F,631.97,5,6,"[10, 5, 6]","[0.4, 0.592, 0.778]",386.0,1268,1306,827,837,1043.0,Lower Secondary,1,1,2,5,124.905,477.346,2,2,715.008,670.67
22,1017,30,0,5,F,451.987,4,6,"[4, 3, 1]","[0.7, 0.367, 0.99]",490.0,1219,1289,873,883,1161.0,Upper Tertiary,1,1,1,3,279.219,7.161,5,4,482.354,610.713
23,1018,30,0,5,F,654.66,4,6,"[6, 1, 7]","[0.8, 0.45, 0.889]",440.0,1238,1279,761,773,1057.0,Upper Tertiary,1,1,4,5,513.776,624.917,5,3,581.991,765.135
24,1019,30,0,4,M,382.007,4,5,"[1, 9, 8]","[0.44, 0.454, 0.644]",319.0,1214,1242,825,855,1001.0,Lower Tertiary,1,1,4,3,750.745,729.31,2,4,143.881,68.884
25,102,0,49,2,M,342.165,1,1,"[10, 6, 6]","[0.4, 0.342, 0]",,,,,,,Lower Secondary,1,1,,,,,,,,
26,1020,30,0,3,F,21.695,5,6,"[2, 1, 3]","[0.36, 0.015, 0.317]",157.0,1223,1300,856,867,1074.0,Upper Secondary,1,1,5,5,532.908,795.865,3,4,238.678,164.423
27,1021,30,0,5,M,782.911,5,6,"[1, 2, 8]","[0.55, 0.587, 0.747]",370.0,1159,1197,898,958,963.0,Upper Tertiary,1,1,4,4,79.349,164.354,5,5,770.616,593.899
28,1022,30,0,4,F,15.425,5,6,"[4, 3, 3]","[0.56, 0.013, 0.982]",487.0,1225,1328,848,899,1084.0,Lower Tertiary,1,1,5,5,665.029,790.261,4,5,618.267,625.366
29,1023,30,0,5,F,613.541,4,6,"[2, 9, 7]","[0.6, 0.729, 0.821]",407.0,1332,1404,839,885,1112.0,Upper Tertiary,1,1,5,3,739.885,775.109,4,3,467.772,695.144
30,1024,30,0,5,F,798.831,4,6,"[6, 1, 1]","[0.8, 0.549, 0.95]",472.0,1264,1276,853,896,1118.0,Upper Tertiary,1,1,5,5,577.259,383.372,5,5,750.055,794.206
31,1025,30,0,5,M,228.96,5,6,"[6, 3, 8]","[0.8, 0.186, 0.948]",472.0,1210,1220,785,777,998.0,Upper Tertiary,1,1,4,5,20.679,680.678,5,5,521.053,215.277
32,1026,30,0,3,M,302.026,5,6,"[6, 1, 6]","[0.48, 0.208, 0.829]",413.0,1147,1156,875,892,952.0,Upper Secondary,1,1,2,4,141.41,537.57,4,5,710.672,773.011
33,1027,30,0,5,M,746.909,4,6,"[3, 3, 9]","[0.65, 0.607, 0.585]",292.0,1199,1207,870,904,971.0,Upper Tertiary,1,1,3,5,749.196,799.612,4,3,753.626,387.509
34,1028,30,0,5,F,653.765,4,5,"[10, 10, 4]","[1.0, 0.817, 0.896]",448.0,1232,1299,798,812,1077.0,Upper Tertiary,1,1,5,5,791.13,794.857,5,4,400.677,548.866
35,1029,30,0,4,M,384.732,4,6,"[7, 8, 3]","[0.68, 0.433, 0.712]",356.0,1076,1112,876,890,923.0,Lower Tertiary,1,1,5,3,450.026,712.932,4,2,101.77,103.261
36,103,0,37,4,F,516.068,1,2,"[6, 4, 9]","[0.64, 0.452, 0]",231.0,612,,,,494.0,Lower Tertiary,1,1,5,,495.949,,,,,
37,1030,30,0,5,F,778.779,4,5,"[7, 6, 7]","[0.85, 0.779, 0.992]",496.0,1254,1314,794,859,1050.0,Upper Tertiary,1,1,2,3,783.446,629.822,4,4,729.389,734.939
38,1031,30,0,5,F,710.057,4,5,"[1, 1, 5]","[0.55, 0.488, 0.81]",405.0,1246,,905,943,1076.0,Upper Tertiary,1,1,5,,737.679,,5,4,272.956,732.787
39,1032,30,0,3,F,277.494,4,6,"[3, 5, 4]","[0.39, 0.26, 0.984]",492.0,1221,1295,884,919,1083.0,Upper Secondary,1,1,3,3,300.027,476.544,5,4,686.003,759.123
40,1033,30,0,4,F,169.934,5,6,"[1, 2, 4]","[0.44, 0.127, 0.86]",430.0,1217,1250,819,862,1089.0,Lower Tertiary,1,1,5,5,521.646,518.18,4,5,62.713,352.147
41,1034,30,0,4,M,235.197,4,5,"[5, 8, 3]","[0.6, 0.265, 0.83]",414.0,1200,1205,799,805,989.0,Lower Tertiary,1,1,4,4,40.209,312.689,5,3,788.461,286.833
42,1035,30,0,3,F,747.452,4,6,"[3, 1, 9]","[0.39, 0.514, 0.984]",490.0,1256,1287,771,784,1093.0,Upper Secondary,1,1,1,2,65.335,43.404,4,3,655.566,799.923
43,1036,30,0,5,F,744.067,5,6,"[10, 9, 4]","[1.0, 0.884, 0.758]",378.0,1285,1382,860,889,1170.0,Upper Tertiary,1,1,5,5,722.268,764.179,5,5,506.19,521.835
44,1037,30,0,3,M,784.15,5,7,"[4, 8, 4]","[0.42, 0.882, 0.625]",312.0,1193,1208,843,880,967.0,Upper Secondary,1,1,5,4,785.274,792.978,3,1,141.328,713.025
45,1038,30,0,5,F,335.855,4,6,"[7, 2, 6]","[0.85, 0.252, 0.92]",460.0,1251,1303,793,802,1103.0,Upper Tertiary,1,1,5,4,712.461,205.409,5,4,372.423,179.66
46,1039,30,0,4,M,581.074,4,6,"[3, 9, 1]","[0.52, 0.69, 0.888]",444.0,1178,,829,831,969.0,Lower Tertiary,1,1,5,,719.068,,4,4,509.107,296.501
47,104,0,46,3,M,581.825,1,1,"[9, 7, 7]","[0.57, 0.618, 0]",182.0,547,,,,32.0,Upper Secondary,1,1,3,,622.121,,,,,
48,1040,30,0,3,M,626.908,4,6,"[10, 2, 9]","[0.6, 0.47, 0.482]",241.0,1182,1189,801,814,956.0,Upper Secondary,1,1,5,4,492.135,81.698,4,3,711.605,763.791
49,1041,30,0,1,F,56.285,5,6,"[10, 10, 2]","[0.2, 0.07, 0.848]",424.0,1224,1296,774,788,1072.0,Primary,1,1,1,2,589.668,630.947,4,1,774.33,691.692
50,1042,30,0,5,M,708.224,4,5,"[5, 3, 8]","[0.75, 0.575, 0.908]",454.0,1179,1213,763,779,973.0,Upper Tertiary,1,1,5,4,403.449,167.456,4,5,755.685,593.162
51,1043,30,0,4,M,317.047,4,5,"[1, 6, 5]","[0.44, 0.317, 0.754]",377.0,1268,1306,879,886,1016.0,Lower Tertiary,1,1,2,5,124.905,477.346,5,3,537.707,435.079
52,1044,30,0,1,M,273.015,4,5,"[5, 6, 10]","[0.15, 0.273, 0.878]",439.0,1110,1137,845,869,934.0,Primary,1,1,3,2,556.022,320.644,1,2,588.889,529.349
53,1045,30,0,5,M,295.039,4,5,"[4, 6, 6]","[0.7, 0.295, 0.746]",373.0,1211,1240,768,772,996.0,Upper Tertiary,1,1,4,5,767.492,435.394,3,5,787.962,726.573
54,1046,30,0,4,F,487.175,4,6,"[5, 4, 9]","[0.6, 0.426, 0.91]",455.0,1261,1324,786,800,1157.0,Lower Tertiary,1,1,5,3,523.643,131.968,3,2,764.358,18.384
55,1047,30,0,5,M,794.6,5,7,"[3, 10, 2]","[0.65, 0.993, 0.711]",354.0,1196,1245,833,826,986.0,Upper Tertiary,1,1,5,5,798.062,797.784,5,5,793.034,780.513
56,1048,30,0,3,M,118.448,4,6,"[5, 2, 1]","[0.45, 0.089, 0.779]",387.0,1204,1209,851,902,988.0,Upper Secondary,1,1,3,5,28.589,207.772,5,4,631.453,702.658
57,1049,30,0,5,F,782.438,4,6,"[5, 2, 7]","[0.75, 0.587, 0.921]",456.0,1247,1312,756,752,1090.0,Upper Tertiary,1,1,4,4,5.655,21.995,5,5,774.986,781.049
58,105,0,54,1,F,99.258,1,1,"[10, 4, 10]","[0.2, 0.087, 0]",480.0,,,,,,Primary,1,1,,,,,,,,
59,1050,30,0,3,M,621.759,5,6,"[3, 8, 2]","[0.39, 0.699, 0.937]",464.0,1254,1314,817,877,1030.0,Upper Secondary,1,1,2,3,783.446,629.822,5,4,669.327,712.603
