,AgentID,Step,Age,Edu_level,Gender,Income,Generation,Cohort,Weight,Capital,Brut,Child1,Child2,Mother,Father,Partner,Education,Cultural,Economic,Social,Child1_Edu,Child2_Edu,Child1_Income,Child2_Income,Mother_Edu,Father_Edu,Mother_Income,Father_Income,Spouse_Edu,Mother_Cultural,Mother_Economic,Mother_Social,Father_Cultural,Father_Economic,Father_Social,Scenario,Replication
0,0,16,70,4,M,570.817,1,2,"[3, 6, 1]","['0.52', '0.571', '0.533']",237.0,593,,,,60.0,Lower Tertiary,0.52,0.571,0.533,5,,784.142,,,,,,3.0,,,,,,,5,10
1,1,3,61,1,M,276.972,1,1,"[6, 9, 10]","['0.16', '0.329', '0.943']",432.0,,,,,,Primary,0.16,0.329,0.943,,,,,,,,,,,,,,,,5,10
2,10,23,64,4,F,369.213,1,3,"[8, 2, 7]","['0.72', '0.277', '0.74']",330.0,549,701,,,505.0,Lower Tertiary,0.72,0.277,0.74,5,5,665.282,716.693,,,,,5.0,,,,,,,5,10
3,100,0,49,4,M,318.103,1,1,"[9, 4, 7]","['0.76', '0.278', '0']",,573,,,,,Lower Tertiary,0.76,0.278,0,5,,634.583,,,,,,,,,,,,,5,10
4,1000,45,38,3,M,58.154,4,5,"[7, 1, 4]","['0.51', '0.04', '0.947']",465.0,,,786,803,968.0,Upper Secondary,0.51,0.04,0.947,,,,,5,4,766.509,753.823,4.0,0.85,0.671,0.944,0.8,0.518,0.978,5,10
5,1001,58,64,5,F,738.079,5,7,"[3, 4, 7]","['0.65', '0.646', '0.766']",377.0,1200,1301,805,765,981.0,Upper Tertiary,0.65,0.646,0.766,5,3,394.545,102.867,5,4,451.099,753.289,3.0,0.6,0.536,0.716,0.52,0.565,0.73,5,10
6,1002,56,60,5,M,423.946,4,6,"[2, 3, 3]","['0.6', '0.344', '0.791']",390.0,1202,1248,795,759,1038.0,Upper Tertiary,0.6,0.344,0.791,5,5,525.526,311.095,5,4,562.325,518.624,3.0,0.7,0.387,0.777,0.72,0.421,0.676,5,10
7,1003,56,60,2,F,799.318,4,6,"[9, 1, 3]","['0.38', '0.55', '0.872']",429.0,1192,1292,840,797,973.0,Lower Secondary,0.38,0.55,0.872,3,3,6.602,218.79,2,1,793.555,788.613,5.0,0.34,0.992,0.988,0.11,0.986,0.998,5,10
8,1004,55,58,4,F,149.865,4,6,"[2, 9, 9]","['0.48', '0.178', '0.947']",466.0,1180,1215,823,834,950.0,Lower Tertiary,0.48,0.178,0.947,2,1,789.696,717.08,5,5,679.039,572.825,2.0,0.8,0.509,0.984,0.85,0.644,0.954,5,10
9,1005,47,42,5,F,772.818,3,5,"[10, 6, 5]","['1.0', '0.773', '0.848']",418.0,1190,1255,725,715,1064.0,Upper Tertiary,1.0,0.773,0.848,5,5,483.375,668.887,3,4,487.063,569.914,4.0,0.42,0.609,0.51,0.52,0.606,0.836,5,10
10,1006,55,58,3,M,621.952,4,6,"[7, 3, 6]","['0.51', '0.505', '0.787']",389.0,1169,1223,746,742,954.0,Upper Secondary,0.51,0.505,0.787,4,4,699.261,783.799,3,5,508.517,702.024,5.0,0.33,0.636,0.835,0.55,0.483,0.794,5,10
11,1007,45,38,5,F,775.357,4,5,"[10, 7, 9]","['1.0', '0.824', '0.723']",355.0,1188,1247,878,833,1093.0,Upper Tertiary,1.0,0.824,0.723,5,5,780.723,787.283,4,2,705.05,743.542,4.0,0.72,0.881,0.499,0.4,0.511,0.306,5,10
12,1008,61,70,4,F,682.735,4,6,"[9, 6, 7]","['0.76', '0.683', '0.553']",272.0,1178,1216,844,768,994.0,Lower Tertiary,0.76,0.683,0.553,5,5,654.522,756.566,3,5,788.937,729.381,5.0,0.36,0.838,0.868,0.55,0.729,0.81,5,10
13,1009,54,56,3,M,166.22,4,6,"[6, 2, 6]","['0.48', '0.125', '0.743']",365.0,1206,1259,890,855,1025.0,Upper Secondary,0.48,0.125,0.743,5,4,736.188,290.667,1,5,6.513,382.701,4.0,0.19,0.007,0.88,0.65,0.359,0.695,5,10
14,101,13,60,3,F,752.549,1,2,"[9, 6, 5]","['0.57', '0.753', '0.331']",161.0,502,711,,,409.0,Upper Secondary,0.57,0.753,0.331,3,4,645.722,657.643,,,,,5.0,,,,,,,5,10
15,1010,46,40,5,M,596.52,4,5,"[10, 7, 4]","['1.0', '0.634', '0.786']",386.0,1261,1297,775,785,1078.0,Upper Tertiary,1.0,0.634,0.786,5,5,515.466,715.53,4,5,280.31,534.303,4.0,0.6,0.315,0.766,0.7,0.534,0.998,5,10
16,1011,58,64,5,F,644.471,5,7,"[2, 10, 7]","['0.6', '0.806', '0.795']",391.0,1183,1240,814,811,978.0,Upper Tertiary,0.6,0.806,0.795,4,4,754.654,789.292,5,4,380.345,675.872,2.0,0.6,0.428,0.366,0.48,0.549,0.558,5,10
17,1012,58,64,5,M,791.731,4,6,"[2, 5, 2]","['0.6', '0.742', '0.923']",455.0,1179,1219,892,889,1022.0,Upper Tertiary,0.6,0.742,0.923,3,3,671.424,710.093,5,3,776.762,18.737,4.0,0.6,0.971,0.866,0.6,0.02,0.98,5,10
18,1013,47,42,5,F,613.506,4,5,"[4, 9, 2]","['0.7', '0.729', '0.775']",382.0,1191,1252,809,793,1080.0,Upper Tertiary,0.7,0.729,0.775,4,5,744.652,580.046,2,5,790.797,466.492,4.0,0.28,0.544,0.308,0.75,0.466,0.93,5,10
19,1014,64,76,5,M,446.934,5,6,"[5, 6, 9]","['0.75', '0.447', '0.711']",351.0,1250,1271,882,851,1040.0,Upper Tertiary,0.75,0.447,0.711,4,4,177.125,172.206,4,5,689.959,715.398,3.0,0.76,0.561,0.672,0.9,0.581,0.905,5,10
20,1015,56,60,3,F,597.684,4,6,"[8, 3, 6]","['0.54', '0.486', '0.941']",466.0,1217,1309,817,760,975.0,Upper Secondary,0.54,0.486,0.941,4,3,237.548,425.769,3,5,712.007,687.167,5.0,0.45,0.757,0.902,0.85,0.773,0.974,5,10
21,1016,56,60,3,M,774.518,4,6,"[2, 4, 7]","['0.36', '0.678', '0.994']",493.0,1186,1236,873,847,998.0,Upper Secondary,0.36,0.678,0.994,1,4,326.597,327.393,3,2,774.006,752.008,5.0,0.45,0.677,0.767,0.34,0.893,0.928,5,10
22,1017,47,42,3,M,787.778,3,5,"[6, 10, 9]","['0.48', '0.985', '0.166']",82.0,1172,1210,727,718,1051.0,Upper Secondary,0.48,0.985,0.166,5,4,795.223,798.123,4,5,500.475,740.046,5.0,0.76,0.594,0.934,0.95,0.601,0.962,5,10
23,1018,56,60,2,F,748.535,4,6,"[3, 2, 9]","['0.26', '0.561', '0.775']",383.0,1189,1221,789,778,1032.0,Lower Secondary,0.26,0.561,0.775,5,4,771.606,21.729,1,3,304.614,689.55,5.0,0.12,0.381,0.826,0.48,0.517,0.837,5,10
24,1019,56,60,2,M,24.44,4,6,"[7, 10, 1]","['0.34', '0.031', '0.899']",445.0,,,883,859,1023.0,Lower Secondary,0.34,0.031,0.899,,,,,5,2,348.149,109.469,1.0,0.9,0.261,0.994,0.22,0.082,0.988,5,10
25,102,3,55,1,M,125.769,1,1,"[2, 1, 9]","['0.12', '0.086', '0.994']",464.0,,,,,,Primary,0.12,0.086,0.994,,,,,,,,,,,,,,,,5,10
26,1020,58,64,4,F,758.793,5,7,"[6, 8, 4]","['0.64', '0.854', '0.933']",462.0,1241,1320,831,799,964.0,Lower Tertiary,0.64,0.854,0.933,2,1,794.916,746.327,5,4,568.528,796.816,5.0,0.6,0.675,0.706,0.68,0.697,0.626,5,10
27,1021,45,38,3,F,689.526,4,5,"[2, 1, 7]","['0.36', '0.474', '0.831']",412.0,1174,1254,729,720,1047.0,Upper Secondary,0.36,0.474,0.831,5,2,717.209,527.725,4,3,775.397,23.513,2.0,0.64,0.824,0.68,0.36,0.026,0.876,5,10
28,1022,57,62,4,F,759.82,4,6,"[3, 8, 3]","['0.52', '0.855', '0.761']",378.0,1179,1219,827,794,1012.0,Lower Tertiary,0.52,0.855,0.761,3,3,671.424,710.093,4,5,445.699,459.867,5.0,0.76,0.529,0.792,0.9,0.46,0.898,5,10
29,1023,63,74,1,F,22.106,4,6,"[5, 3, 6]","['0.15', '0.018', '0.283']",141.0,,,792,764,1019.0,Primary,0.15,0.018,0.283,,,,,2,1,81.257,111.749,2.0,0.24,0.066,0.992,0.2,0.126,0.895,5,10
30,1024,55,58,4,F,174.56,4,6,"[4, 3, 9]","['0.56', '0.142', '0.954']",476.0,1197,1213,818,779,957.0,Lower Tertiary,0.56,0.142,0.954,2,1,323.754,511.5,3,5,65.8,508.686,3.0,0.45,0.062,0.604,0.55,0.509,0.685,5,10
31,1025,58,64,4,F,88.686,4,6,"[4, 9, 6]","['0.56', '0.105', '0.755']",375.0,1206,1259,837,744,1009.0,Lower Tertiary,0.56,0.105,0.755,5,4,736.188,290.667,5,2,411.243,275.795,3.0,0.55,0.437,0.892,0.38,0.19,0.841,5,10
32,1026,55,58,2,F,172.422,5,6,"[8, 7, 4]","['0.36', '0.183', '0.462']",230.0,1282,1307,756,790,1074.0,Lower Secondary,0.36,0.183,0.462,5,5,745.328,512.159,2,1,96.018,227.901,4.0,0.28,0.066,0.828,0.15,0.185,0.752,5,10
33,1027,60,68,3,F,471.526,5,7,"[1, 8, 9]","['0.33', '0.53', '0.892']",444.0,1319,1336,836,791,1043.0,Upper Secondary,0.33,0.53,0.892,3,4,242.17,195.919,5,4,400.946,708.927,5.0,0.6,0.476,0.85,0.68,0.532,0.887,5,10
34,1028,45,38,3,M,787.918,4,5,"[8, 1, 10]","['0.54', '0.542', '0.741']",369.0,1287,1302,731,724,952.0,Upper Secondary,0.54,0.542,0.741,4,4,465.732,568.134,5,4,500.293,763.369,5.0,0.8,0.563,0.802,0.72,0.716,0.988,5,10
35,1029,46,40,3,F,230.484,4,5,"[5, 7, 10]","['0.45', '0.245', '0.95']",474.0,1198,1242,887,835,995.0,Upper Secondary,0.45,0.245,0.95,4,5,107.53,303.064,5,4,510.364,321.941,5.0,0.6,0.447,0.818,0.52,0.302,0.85,5,10
36,103,5,69,3,M,360.736,1,1,"[3, 9, 1]","['0.39', '0.428', '0.701']",347.0,,,,,,Upper Secondary,0.39,0.428,0.701,,,,,,,,,,,,,,,,5,10
37,1030,59,66,5,F,766.614,4,6,"[5, 6, 2]","['0.75', '0.767', '0.966']",483.0,1195,1245,856,871,1098.0,Upper Tertiary,0.75,0.767,0.966,3,4,305.747,323.542,5,3,710.829,794.634,4.0,0.8,0.844,0.769,0.54,0.894,0.888,5,10
38,1031,47,42,5,F,787.128,4,5,"[4, 1, 1]","['0.7', '0.541', '0.656']",328.0,1205,1244,888,862,1037.0,Upper Tertiary,0.7,0.541,0.656,5,5,694.489,643.496,5,5,669.1,748.943,4.0,1.0,0.502,0.94,0.6,0.936,0.285,5,10
39,1032,55,58,5,M,798.198,5,6,"[4, 5, 7]","['0.7', '0.748', '0.954']",477.0,1189,1221,891,842,1018.0,Upper Tertiary,0.7,0.748,0.954,5,4,771.606,21.729,4,5,420.526,761.754,2.0,0.72,0.499,0.898,0.75,0.524,0.924,5,10
