,Scenario,Replication,Cohort,Probability
0,1,1,3,0.4144144144144144
1,1,1,4,0.35714285714285715
2,1,1,5,0.3064516129032258
3,1,1,6,0.3870967741935484
4,1,1,7,0.574468085106383
5,1,1,8,0.40625
6,1,1,9,0.4
7,1,1,10,0.47058823529411764
8,1,1,11,0.36666666666666664
9,1,1,12,0.29411764705882354
10,1,1,13,0.3409090909090909
11,1,1,14,0.4090909090909091
12,1,1,15,0.46153846153846156
13,1,1,16,0.20833333333333334
14,1,1,17,0.16666666666666666
15,1,1,18,0.4791666666666667
16,1,1,19,0.6470588235294118
17,1,1,20,0.47058823529411764
18,1,1,21,0.4642857142857143
19,1,1,22,0.2857142857142857
20,1,1,23,0.4782608695652174
21,1,1,24,0.375
22,1,1,25,0.3076923076923077
23,1,1,26,0.36363636363636365
24,1,1,27,0.3055555555555556
25,1,1,28,0.4166666666666667
26,1,1,29,0.39285714285714285
27,1,1,30,0.391304347826087
28,1,1,31,0.29411764705882354
29,1,1,32,0.5789473684210527
30,1,1,33,0.32142857142857145
31,1,1,34,0.25
32,1,1,35,0.35714285714285715
33,1,1,36,0.6666666666666666
34,1,1,37,0.3333333333333333
35,1,1,38,0.3333333333333333
36,1,1,39,0.43333333333333335
37,1,1,40,0.5555555555555556
38,1,1,41,0.3
39,1,1,42,0.4583333333333333
40,1,1,43,0.3333333333333333
41,1,1,44,0.21428571428571427
42,1,1,45,0.2
43,1,1,46,0.4
44,1,1,47,0.4375
45,1,1,48,0.25
46,1,1,49,0.4
47,1,1,50,0.42857142857142855
48,1,1,51,0.21428571428571427
49,1,1,52,0.25
50,1,1,53,0.5
51,1,1,54,0.4
52,1,1,55,0.5
53,1,2,3,0.3037037037037037
54,1,2,4,0.37383177570093457
55,1,2,5,0.4069767441860465
56,1,2,6,0.53125
57,1,2,7,0.20454545454545456
58,1,2,8,0.3103448275862069
59,1,2,9,0.35714285714285715
60,1,2,10,0.4423076923076923
61,1,2,11,0.41304347826086957
62,1,2,12,0.4230769230769231
63,1,2,13,0.27586206896551724
64,1,2,14,0.38235294117647056
65,1,2,15,0.4444444444444444
66,1,2,16,0.5227272727272727
67,1,2,17,0.47058823529411764
68,1,2,18,0.325
69,1,2,19,0.39473684210526316
70,1,2,20,0.3076923076923077
71,1,2,21,0.34782608695652173
72,1,2,22,0.41304347826086957
73,1,2,23,0.53125
74,1,2,24,0.36666666666666664
75,1,2,25,0.4
76,1,2,26,0.625
77,1,2,27,0.36363636363636365
78,1,2,28,0.375
79,1,2,29,0.4117647058823529
80,1,2,30,0.43333333333333335
81,1,2,31,0.38235294117647056
82,1,2,32,0.4090909090909091
83,1,2,33,0.25
84,1,2,34,0.3888888888888889
85,1,2,35,0.22727272727272727
86,1,2,36,0.25
87,1,2,37,0.375
88,1,2,38,0.25
89,1,2,39,0.25
90,1,2,40,0.3333333333333333
91,1,2,41,0.2692307692307692
92,1,2,42,0.22727272727272727
93,1,2,43,0.38095238095238093
94,1,2,44,0.2647058823529412
95,1,2,45,0.4090909090909091
96,1,2,46,0.42857142857142855
97,1,2,47,0.21428571428571427
98,1,2,48,0.2857142857142857
99,1,2,49,0.25
100,1,2,50,0.4166666666666667
101,1,2,51,0.3333333333333333
102,1,2,52,0.4166666666666667
103,1,2,53,0.3
104,1,2,54,0.25
105,1,2,55,0.3333333333333333
106,1,2,56,0.45454545454545453
107,1,2,57,0.5
108,1,3,3,0.45714285714285713
109,1,3,4,0.40476190476190477
110,1,3,5,0.2878787878787879
111,1,3,6,0.4583333333333333
112,1,3,7,0.37142857142857144
113,1,3,8,0.4117647058823529
114,1,3,9,0.3333333333333333
115,1,3,10,0.3333333333333333
116,1,3,11,0.3181818181818182
117,1,3,12,0.3333333333333333
118,1,3,13,0.2558139534883721
119,1,3,14,0.2826086956521739
120,1,3,15,0.40476190476190477
121,1,3,16,0.375
122,1,3,17,0.3409090909090909
123,1,3,18,0.36363636363636365
124,1,3,19,0.4
125,1,3,20,0.3125
126,1,3,21,0.4473684210526316
127,1,3,22,0.3076923076923077
128,1,3,23,0.42857142857142855
129,1,3,24,0.375
130,1,3,25,0.38235294117647056
131,1,3,26,0.2222222222222222
132,1,3,27,0.29411764705882354
133,1,3,28,0.5588235294117647
134,1,3,29,0.4166666666666667
135,1,3,30,0.4
136,1,3,31,0.3
137,1,3,32,0.3684210526315789
138,1,3,33,0.375
139,1,3,34,0.3684210526315789
140,1,3,35,0.36363636363636365
141,1,3,36,0.17647058823529413
142,1,3,37,0.5
143,1,3,38,0.4375
144,1,3,39,0.125
145,1,3,40,0.3181818181818182
146,1,3,41,0.21428571428571427
147,1,3,42,0.25
148,1,3,43,0.6666666666666666
149,1,3,44,0.5
150,1,3,45,0.42857142857142855
151,1,3,46,0.25
152,1,3,47,0.7222222222222222
153,1,3,48,0.25
154,1,3,49,0.2727272727272727
155,1,3,50,0.2857142857142857
156,1,3,51,0.4375
157,1,3,52,0.5
158,1,3,53,0.25
159,1,3,54,0.375
160,1,3,55,0.3
161,1,3,56,0.5
162,1,3,57,0.35714285714285715
163,1,3,58,0.2222222222222222
164,1,3,59,0.3888888888888889
165,1,3,60,0.5
166,1,3,61,0.6666666666666666
167,1,4,3,0.3392857142857143
168,1,4,4,0.5591397849462365
169,1,4,5,0.453125
170,1,4,6,0.3972602739726027
171,1,4,7,0.47368421052631576
172,1,4,8,0.5
173,1,4,9,0.2571428571428571
174,1,4,10,0.45454545454545453
175,1,4,11,0.275
176,1,4,12,0.3103448275862069
177,1,4,13,0.4
178,1,4,14,0.2727272727272727
179,1,4,15,0.3333333333333333
180,1,4,16,0.38636363636363635
181,1,4,17,0.35
182,1,4,18,0.45652173913043476
183,1,4,19,0.40476190476190477
184,1,4,20,0.36666666666666664
185,1,4,21,0.4090909090909091
186,1,4,22,0.3
187,1,4,23,0.25
188,1,4,24,0.46875
189,1,4,25,0.23076923076923078
190,1,4,26,0.4
191,1,4,27,0.35714285714285715
192,1,4,28,0.42105263157894735
193,1,4,29,0.5454545454545454
194,1,4,30,0.4117647058823529
195,1,4,31,0.42857142857142855
196,1,4,32,0.3888888888888889
197,1,4,33,0.5
198,1,4,34,0.4166666666666667
199,1,4,35,0.5
200,1,4,36,0.6875
201,1,4,37,0.125
202,1,4,38,0.3333333333333333
203,1,4,39,0.25
204,1,4,40,0.3
205,1,4,41,0.45454545454545453
206,1,4,42,0.35
207,1,4,43,0.3333333333333333
208,1,4,44,0.16666666666666666
209,1,4,45,1.0
210,1,4,46,0.25
211,1,4,47,0.125
212,1,4,48,0.2
213,1,4,49,
214,1,4,50,0.3333333333333333
215,1,4,51,0.3333333333333333
216,1,4,52,0.5
217,1,4,53,0.5
218,1,4,54,0.4
219,1,4,55,0.16666666666666666
220,1,4,56,0.25
221,1,4,57,0.25
222,1,4,58,0.4
223,1,4,59,1.0
224,1,4,60,0.25
225,1,4,62,0.16666666666666666
226,1,4,63,
227,1,4,64,0.6666666666666666
228,1,4,65,0.3333333333333333
229,1,4,66,0.3333333333333333
230,1,4,67,0.16666666666666666
231,1,4,68,0.25
232,1,4,69,0.625
233,1,4,71,
234,1,4,72,
235,1,4,73,0.5
236,1,4,74,
237,1,4,75,0.5
238,1,5,3,0.3333333333333333
239,1,5,4,0.37254901960784315
240,1,5,5,0.32142857142857145
241,1,5,6,0.358974358974359
242,1,5,7,0.36486486486486486
243,1,5,8,0.35714285714285715
244,1,5,9,0.3548387096774194
245,1,5,10,0.25
246,1,5,11,0.3269230769230769
247,1,5,12,0.21153846153846154
248,1,5,13,0.4423076923076923
249,1,5,14,0.43636363636363634
250,1,5,15,0.375
251,1,5,16,0.425
252,1,5,17,0.5681818181818182
253,1,5,18,0.25
254,1,5,19,0.35714285714285715
255,1,5,20,0.35714285714285715
256,1,5,21,0.21428571428571427
257,1,5,22,0.38636363636363635
258,1,5,23,0.4411764705882353
259,1,5,24,0.4375
260,1,5,25,0.5
261,1,5,26,0.15
262,1,5,27,0.34615384615384615
263,1,5,28,0.4583333333333333
264,1,5,29,0.35
265,1,5,30,0.3333333333333333
266,1,5,31,0.45
267,1,5,32,0.3333333333333333
268,1,5,33,0.35714285714285715
269,1,5,34,0.4444444444444444
270,1,5,35,0.125
271,1,5,36,0.2692307692307692
272,1,5,37,0.5416666666666666
273,1,5,38,0.3333333333333333
274,1,5,39,0.45454545454545453
275,1,5,40,0.39285714285714285
276,1,5,41,0.2777777777777778
277,1,5,42,0.14285714285714285
278,1,5,43,0.21428571428571427
279,1,5,44,0.25
280,1,5,45,0.3181818181818182
281,1,5,46,0.0625
282,1,5,47,0.3
283,1,5,48,0.4375
284,1,5,49,0.14285714285714285
285,1,5,50,0.2857142857142857
286,1,5,51,0.4444444444444444
287,1,5,52,0.35714285714285715
288,1,5,53,0.20833333333333334
289,1,5,54,0.1111111111111111
290,1,5,55,0.3181818181818182
291,1,5,56,0.45454545454545453
292,1,5,57,0.3333333333333333
293,1,5,58,0.21428571428571427
294,1,5,59,0.125
295,1,5,60,0.5
296,1,5,61,0.25
297,1,5,62,0.5833333333333334
298,1,5,63,0.4444444444444444
299,1,5,64,0.4166666666666667
300,1,5,65,0.16666666666666666
301,1,5,66,0.5
302,1,5,67,0.4
303,1,6,3,0.31683168316831684
304,1,6,4,0.5370370370370371
305,1,6,5,0.4857142857142857
306,1,6,6,0.37142857142857144
307,1,6,7,0.4936708860759494
308,1,6,8,0.4
309,1,6,9,0.44642857142857145
310,1,6,10,0.4722222222222222
311,1,6,11,0.5625
312,1,6,12,0.4583333333333333
313,1,6,13,0.375
314,1,6,14,0.2222222222222222
315,1,6,15,0.23529411764705882
316,1,6,16,0.26785714285714285
317,1,6,17,0.35294117647058826
318,1,6,18,0.48148148148148145
319,1,6,19,0.2708333333333333
320,1,6,20,0.3125
321,1,6,21,0.38
322,1,6,22,0.3409090909090909
323,1,6,23,0.4166666666666667
324,1,6,24,0.28846153846153844
325,1,6,25,0.42
326,1,6,26,0.5
327,1,6,27,0.25
328,1,6,28,0.35714285714285715
329,1,6,29,0.36363636363636365
330,1,6,30,0.40476190476190477
331,1,6,31,0.5
332,1,6,32,0.38461538461538464
333,1,6,33,0.23076923076923078
334,1,6,34,0.3333333333333333
335,1,6,35,0.4166666666666667
336,1,6,36,0.35294117647058826
337,1,6,37,0.4117647058823529
338,1,6,38,0.2857142857142857
339,1,6,39,0.53125
340,1,6,40,0.3333333333333333
341,1,6,41,0.3333333333333333
342,1,6,42,0.25
343,1,6,43,0.2727272727272727
344,1,6,44,0.4
345,1,6,45,0.18181818181818182
346,1,6,46,0.38461538461538464
347,1,6,47,0.3333333333333333
348,1,6,48,0.2916666666666667
349,1,6,49,0.25
350,1,6,50,0.4375
351,1,6,51,0.45454545454545453
352,1,6,52,0.3333333333333333
353,1,6,53,0.35714285714285715
354,1,6,54,0.29411764705882354
355,1,6,55,0.5384615384615384
356,1,6,56,0.2777777777777778
357,1,6,57,0.4375
358,1,6,58,0.5
359,1,6,59,0.35
360,1,6,60,0.3157894736842105
361,1,7,3,0.4067796610169492
362,1,7,4,0.41935483870967744
363,1,7,5,0.4
364,1,7,6,0.27692307692307694
365,1,7,7,0.359375
366,1,7,8,0.45588235294117646
367,1,7,9,0.40384615384615385
368,1,7,10,0.41379310344827586
369,1,7,11,0.42105263157894735
370,1,7,12,0.34615384615384615
371,1,7,13,0.36
372,1,7,14,0.4375
373,1,7,15,0.5
374,1,7,16,0.35294117647058826
375,1,7,17,0.5217391304347826
376,1,7,18,0.5
377,1,7,19,0.35294117647058826
378,1,7,20,0.23333333333333334
379,1,7,21,0.38461538461538464
380,1,7,22,0.5357142857142857
381,1,7,23,0.3181818181818182
382,1,7,24,0.4666666666666667
383,1,7,25,0.3235294117647059
384,1,7,26,0.4666666666666667
385,1,7,27,0.35294117647058826
386,1,7,28,0.28125
387,1,7,29,0.2894736842105263
388,1,7,30,0.3333333333333333
389,1,7,31,0.3333333333333333
390,1,7,32,0.35294117647058826
391,1,7,33,0.30434782608695654
392,1,7,34,0.42857142857142855
393,1,7,35,0.3333333333333333
394,1,7,36,0.21428571428571427
395,1,7,37,0.3333333333333333
396,1,7,38,0.8333333333333334
397,1,7,39,0.375
398,1,7,40,0.25
399,1,7,41,0.625
400,1,7,42,0.16666666666666666
401,1,7,43,
402,1,7,44,0.25
403,1,7,45,0.5
404,1,7,46,
405,1,7,47,0.3333333333333333
406,1,7,48,0.5
407,1,7,49,0.25
408,1,7,50,0.5
409,1,7,51,0.5
410,1,7,52,
411,1,7,53,
412,1,7,54,0.25
413,1,7,55,
414,1,7,56,
415,1,7,57,0.25
416,1,7,58,0.5
417,1,7,59,0.75
418,1,7,62,0.75
419,1,7,63,1.0
420,1,8,3,0.28448275862068967
421,1,8,4,0.32407407407407407
422,1,8,5,0.38095238095238093
423,1,8,6,0.43373493975903615
424,1,8,7,0.3815789473684211
425,1,8,8,0.4482758620689655
426,1,8,9,0.38
427,1,8,10,0.45454545454545453
428,1,8,11,0.3181818181818182
429,1,8,12,0.34210526315789475
430,1,8,13,0.35714285714285715
431,1,8,14,0.43478260869565216
432,1,8,15,0.25
433,1,8,16,0.38
434,1,8,17,0.375
435,1,8,18,0.36666666666666664
436,1,8,19,0.3055555555555556
437,1,8,20,0.3333333333333333
438,1,8,21,0.2727272727272727
439,1,8,22,0.3055555555555556
440,1,8,23,0.47058823529411764
441,1,8,24,0.53125
442,1,8,25,0.3
443,1,8,26,0.4
444,1,8,27,0.29411764705882354
445,1,8,28,0.3611111111111111
446,1,8,29,0.4473684210526316
447,1,8,30,0.38235294117647056
448,1,8,31,0.38235294117647056
449,1,8,32,0.34210526315789475
450,1,8,33,0.47058823529411764
451,1,8,34,0.25
452,1,8,35,0.3333333333333333
453,1,8,36,0.46153846153846156
454,1,8,37,0.5
455,1,8,38,0.4444444444444444
456,1,8,39,0.2777777777777778
457,1,8,40,0.3
458,1,8,41,0.46153846153846156
459,1,8,42,0.35714285714285715
460,1,8,43,0.2857142857142857
461,1,8,44,0.3
462,1,8,45,0.16666666666666666
463,1,8,46,0.375
464,1,8,47,0.3333333333333333
465,1,8,48,0.75
466,1,8,49,0.8
467,1,8,50,0.375
468,1,8,51,
469,1,8,52,0.375
470,1,8,53,0.3
471,1,8,54,0.5
472,1,8,55,0.375
473,1,8,56,0.35714285714285715
474,1,8,57,0.3333333333333333
475,1,8,58,0.5
476,1,8,59,0.375
477,1,8,60,0.25
478,1,8,61,0.5
479,1,8,62,0.5454545454545454
480,1,8,63,0.5
481,1,8,64,
482,1,9,3,0.4205607476635514
483,1,9,4,0.3333333333333333
484,1,9,5,0.3466666666666667
485,1,9,6,0.4
486,1,9,7,0.3898305084745763
487,1,9,8,0.27906976744186046
488,1,9,9,0.5277777777777778
489,1,9,10,0.41304347826086957
490,1,9,11,0.42857142857142855
491,1,9,12,0.5384615384615384
492,1,9,13,0.5333333333333333
493,1,9,14,0.4375
494,1,9,15,0.3181818181818182
495,1,9,16,0.25
496,1,9,17,0.35
497,1,9,18,0.2
498,1,9,19,0.4411764705882353
499,1,9,20,0.20588235294117646
500,1,9,21,0.3695652173913043
501,1,9,22,0.15384615384615385
502,1,9,23,0.4666666666666667
503,1,9,24,0.35
504,1,9,25,0.35714285714285715
505,1,9,26,0.25
506,1,9,27,0.25
507,1,9,28,0.25
508,1,9,29,0.5
509,1,9,30,0.18181818181818182
510,1,9,31,0.5454545454545454
511,1,9,32,0.5
512,1,9,33,0.2857142857142857
513,1,9,34,0.5
514,1,9,35,0.2727272727272727
515,1,9,36,0.3
516,1,9,37,0.35
517,1,9,38,0.35
518,1,9,39,0.26666666666666666
519,1,9,40,0.36666666666666664
520,1,9,41,0.16666666666666666
521,1,9,42,0.3888888888888889
522,1,9,43,0.5
523,1,9,44,0.25
524,1,9,45,0.46153846153846156
525,1,9,46,0.4375
526,1,9,47,0.6
527,1,9,48,0.125
528,1,9,49,0.16666666666666666
529,1,9,50,0.625
530,1,9,51,0.42857142857142855
531,1,9,52,0.3
532,1,9,53,0.5
533,1,9,54,0.5
534,1,9,55,0.35
535,1,9,56,0.5
536,1,9,57,0.5
537,1,9,58,0.2
538,1,9,59,0.25
539,1,9,60,0.3333333333333333
540,1,10,3,0.40625
541,1,10,4,0.2631578947368421
542,1,10,5,0.5113636363636364
543,1,10,6,0.44285714285714284
544,1,10,7,0.4
545,1,10,8,0.3333333333333333
546,1,10,9,0.3333333333333333
547,1,10,10,0.5370370370370371
548,1,10,11,0.3333333333333333
549,1,10,12,0.36
550,1,10,13,0.3958333333333333
551,1,10,14,0.2692307692307692
552,1,10,15,0.4
553,1,10,16,0.19444444444444445
554,1,10,17,0.29411764705882354
555,1,10,18,0.3125
556,1,10,19,0.28125
557,1,10,20,0.2619047619047619
558,1,10,21,0.29411764705882354
559,1,10,22,0.23684210526315788
560,1,10,23,0.3181818181818182
561,1,10,24,0.38235294117647056
562,1,10,25,0.2
563,1,10,26,0.36666666666666664
564,1,10,27,0.5333333333333333
565,1,10,28,0.35714285714285715
566,1,10,29,0.46875
567,1,10,30,0.16666666666666666
568,1,10,31,0.3235294117647059
569,1,10,32,0.4
570,1,10,33,0.4666666666666667
571,1,10,34,0.2619047619047619
572,1,10,35,0.34210526315789475
573,1,10,36,0.5416666666666666
574,1,10,37,0.4166666666666667
575,1,10,38,0.2916666666666667
576,1,10,39,0.3
577,1,10,40,0.375
578,1,10,41,0.3055555555555556
579,1,10,42,0.47058823529411764
580,1,10,43,0.2857142857142857
581,1,10,44,0.15
582,1,10,45,0.5
583,1,10,46,0.34615384615384615
584,1,10,47,0.2
585,1,10,48,0.2857142857142857
586,1,10,49,0.4230769230769231
587,1,10,50,0.46153846153846156
588,1,10,51,0.5625
589,1,10,52,0.3888888888888889
590,1,10,53,0.5625
591,1,10,54,0.5
592,1,10,55,0.1
593,1,10,56,0.2
594,1,10,57,0.6428571428571429
595,1,10,58,0.25
596,1,10,59,0.5384615384615384
597,1,10,60,
598,2,1,3,0.4247787610619469
599,2,1,4,0.42857142857142855
600,2,1,5,0.5394736842105263
601,2,1,6,0.49019607843137253
602,2,1,7,0.38271604938271603
603,2,1,8,0.4222222222222222
604,2,1,9,0.4444444444444444
605,2,1,10,0.463768115942029
606,2,1,11,0.43617021276595747
607,2,1,12,0.3472222222222222
608,2,1,13,0.4482758620689655
609,2,1,14,0.5952380952380952
610,2,1,15,0.3333333333333333
611,2,1,16,0.5238095238095238
612,2,1,17,0.34210526315789475
613,2,1,18,0.5192307692307693
614,2,1,19,0.3709677419354839
615,2,1,20,0.4807692307692308
616,2,1,21,0.45652173913043476
617,2,1,22,0.4090909090909091
618,2,1,23,0.4
619,2,1,24,0.3148148148148148
620,2,1,25,0.2916666666666667
621,2,1,26,0.43548387096774194
622,2,1,27,0.4791666666666667
623,2,1,28,0.6136363636363636
624,2,1,29,0.40476190476190477
625,2,1,30,0.39473684210526316
626,2,1,31,0.25
627,2,1,32,0.34210526315789475
628,2,1,33,0.38235294117647056
629,2,1,34,0.45
630,2,1,35,0.25
631,2,1,36,0.35
632,2,1,37,0.5
633,2,1,38,0.3125
634,2,1,39,0.2391304347826087
635,2,1,40,0.34782608695652173
636,2,1,41,0.3275862068965517
637,2,1,42,0.5227272727272727
638,2,1,43,0.2777777777777778
639,2,1,44,0.6
640,2,1,45,0.42857142857142855
641,2,1,46,0.28125
642,2,1,47,0.3
643,2,1,48,0.38235294117647056
644,2,1,49,0.32142857142857145
645,2,1,50,0.34
646,2,1,51,0.3157894736842105
647,2,1,52,0.5
648,2,1,53,0.35294117647058826
649,2,1,54,0.2608695652173913
650,2,1,55,0.4583333333333333
651,2,1,56,0.35714285714285715
652,2,1,57,0.4375
653,2,1,58,0.46875
654,2,1,59,0.17647058823529413
655,2,1,60,
656,2,2,3,0.3969465648854962
657,2,2,4,0.37404580152671757
658,2,2,5,0.4716981132075472
659,2,2,6,0.4367816091954023
660,2,2,7,0.40594059405940597
661,2,2,8,0.46875
