,Scenario,Replication,Cohort,Probability
0,1,1,3,0.37681159420289856
1,1,1,4,0.4520547945205479
2,1,1,5,0.28205128205128205
3,1,1,6,0.4666666666666667
4,1,1,7,0.2894736842105263
5,1,1,8,0.4117647058823529
6,1,1,9,0.4714285714285714
7,1,1,10,0.5357142857142857
8,1,1,11,0.3783783783783784
9,1,1,12,0.23728813559322035
10,1,1,13,0.4583333333333333
11,1,1,14,0.2830188679245283
12,1,1,15,0.325
13,1,1,16,0.3333333333333333
14,1,1,17,0.42857142857142855
15,1,1,18,0.30434782608695654
16,1,1,19,0.5362318840579711
17,1,1,20,0.2916666666666667
18,1,1,21,0.38028169014084506
19,1,1,22,0.3888888888888889
20,1,1,23,0.3448275862068966
21,1,1,24,0.48484848484848486
22,1,1,25,0.3114754098360656
23,1,1,26,0.3548387096774194
24,1,1,27,0.34523809523809523
25,1,1,28,0.3787878787878788
26,1,1,29,0.4142857142857143
27,1,1,30,0.32967032967032966
28,1,1,31,0.2857142857142857
29,1,1,32,0.3888888888888889
30,1,1,33,0.26582278481012656
31,1,1,34,0.4666666666666667
32,1,1,35,0.31521739130434784
33,1,1,36,0.3877551020408163
34,1,1,37,0.4318181818181818
35,1,1,38,0.3979591836734694
36,1,1,39,0.43333333333333335
37,1,1,40,0.35344827586206895
38,1,1,41,0.4725274725274725
39,1,1,42,0.4625
40,1,1,43,0.3763440860215054
41,1,1,44,0.375
42,1,1,45,0.4215686274509804
43,1,1,46,0.47126436781609193
44,1,1,47,0.30158730158730157
45,1,1,48,0.36764705882352944
46,1,1,49,0.5
47,1,1,50,0.5
48,1,2,3,0.34782608695652173
49,1,2,4,0.4666666666666667
50,1,2,5,0.3382352941176471
51,1,2,6,0.3333333333333333
52,1,2,7,0.4166666666666667
53,1,2,8,0.30275229357798167
54,1,2,9,0.3902439024390244
55,1,2,10,0.26548672566371684
56,1,2,11,0.4421052631578947
57,1,2,12,0.3488372093023256
58,1,2,13,0.27906976744186046
59,1,2,14,0.36936936936936937
60,1,2,15,0.3684210526315789
61,1,2,16,0.4146341463414634
62,1,2,17,0.2972972972972973
63,1,2,18,0.3644859813084112
64,1,2,19,0.44776119402985076
65,1,2,20,0.46987951807228917
66,1,2,21,0.3561643835616438
67,1,2,22,0.43859649122807015
68,1,2,23,0.4
69,1,2,24,0.4375
70,1,2,25,0.323943661971831
71,1,2,26,0.2625
72,1,2,27,0.38571428571428573
73,1,2,28,0.38202247191011235
74,1,2,29,0.4925373134328358
75,1,2,30,0.36764705882352944
76,1,2,31,0.391304347826087
77,1,2,32,0.3974358974358974
78,1,2,33,0.38095238095238093
79,1,2,34,0.3389830508474576
80,1,2,35,0.3709677419354839
81,1,2,36,0.27450980392156865
82,1,2,37,0.3711340206185567
83,1,2,38,0.3146067415730337
84,1,2,39,0.4117647058823529
85,1,2,40,0.4215686274509804
86,1,2,41,0.3188405797101449
87,1,2,42,0.3037974683544304
88,1,2,43,0.41346153846153844
89,1,2,44,0.4225352112676056
90,1,2,45,0.40229885057471265
91,1,2,46,0.30434782608695654
92,1,3,3,0.2644628099173554
93,1,3,4,0.40350877192982454
94,1,3,5,0.3953488372093023
95,1,3,6,0.3548387096774194
96,1,3,7,0.30337078651685395
97,1,3,8,0.34951456310679613
98,1,3,9,0.38144329896907214
99,1,3,10,0.3333333333333333
100,1,3,11,0.36
101,1,3,12,0.4025974025974026
102,1,3,13,0.31958762886597936
103,1,3,14,0.3333333333333333
104,1,3,15,0.36363636363636365
105,1,3,16,0.38666666666666666
106,1,3,17,0.3333333333333333
107,1,3,18,0.4117647058823529
108,1,3,19,0.45652173913043476
109,1,3,20,0.37735849056603776
110,1,3,21,0.4090909090909091
111,1,3,22,0.3409090909090909
112,1,3,23,0.25
113,1,3,24,0.2727272727272727
114,1,3,25,0.3076923076923077
115,1,3,26,0.3114754098360656
116,1,3,27,0.3888888888888889
117,1,3,28,0.3584905660377358
118,1,3,29,0.4666666666666667
119,1,3,30,0.3472222222222222
120,1,3,31,0.2714285714285714
121,1,3,32,0.3486238532110092
122,1,3,33,0.35
123,1,3,34,0.3880597014925373
124,1,3,35,0.42105263157894735
