,Scenario,Replication,Cohort,Probability
0,1,1,3,0.008
1,1,1,4,0.0
2,1,1,5,0.015384615384615385
3,1,1,6,0.014925373134328358
4,1,1,7,0.0
5,1,1,8,0.00625
6,1,1,9,0.0
7,1,1,10,0.014598540145985401
8,1,1,11,0.0
9,1,1,12,0.016129032258064516
10,1,1,13,0.0
11,1,1,14,0.0
12,1,1,15,0.0
13,1,1,16,0.0
14,1,1,17,0.0
15,1,1,18,0.0
16,1,1,19,0.0
17,1,1,20,0.0
18,1,1,21,0.0
19,1,1,22,0.0
20,1,1,23,0.0
21,1,1,24,0.0
22,1,1,25,0.0
23,1,1,26,0.0
24,1,1,27,0.0
25,1,1,28,0.03333333333333333
26,1,1,29,0.0
27,1,1,30,0.03125
28,1,1,31,0.0
29,1,1,32,0.0
30,1,1,33,0.0
31,1,1,34,0.0
32,1,1,35,0.0
33,1,1,36,0.0
34,1,1,37,0.0
35,1,1,38,0.0
36,1,1,39,0.0
37,1,1,40,0.0
38,1,1,41,0.025
39,1,1,42,0.0
40,1,1,43,0.0
41,1,1,44,0.0
42,1,1,45,0.0
43,1,1,46,0.0
44,1,1,47,0.0
45,1,1,48,0.0
46,1,1,49,0.0
47,1,1,50,0.0
48,1,1,51,0.0
49,1,1,52,0.0
50,1,1,53,0.0
51,1,1,54,0.0
52,1,1,55,0.0
53,1,1,56,0.03225806451612903
54,1,1,57,0.0
55,1,1,58,0.0
56,1,1,59,0.0
57,1,1,60,0.0
58,1,1,61,0.0
59,1,1,62,0.0
60,1,1,63,0.0
61,1,2,3,0.0
62,1,2,4,0.014598540145985401
63,1,2,5,0.013888888888888888
64,1,2,6,0.006578947368421052
65,1,2,7,0.011695906432748537
66,1,2,8,0.02631578947368421
67,1,2,9,0.0
68,1,2,10,0.0
69,1,2,11,0.0
70,1,2,12,0.0
71,1,2,13,0.012738853503184714
72,1,2,14,0.0
73,1,2,15,0.0
74,1,2,16,0.012195121951219513
75,1,2,17,0.0
76,1,2,18,0.0
77,1,2,19,0.0
78,1,2,20,0.0
79,1,2,21,0.00684931506849315
80,1,2,22,0.01282051282051282
81,1,2,23,0.0
82,1,2,24,0.012987012987012988
83,1,2,25,0.013513513513513514
84,1,2,26,0.0
85,1,2,27,0.0
86,1,2,28,0.0
87,1,2,29,0.007462686567164179
88,1,2,30,0.0
89,1,2,31,0.0
90,1,2,32,0.0
91,1,2,33,0.0
92,1,2,34,0.0
93,1,2,35,0.0
94,1,2,36,0.015151515151515152
95,1,2,37,0.0
96,1,2,38,0.014285714285714285
97,1,2,39,0.0
98,1,2,40,0.0
99,1,2,41,0.0
100,1,2,42,0.0
101,1,2,43,0.013157894736842105
102,1,2,44,0.0
103,1,2,45,0.007692307692307693
104,1,2,46,0.014084507042253521
105,1,2,47,0.007352941176470588
106,1,2,48,0.0
107,1,2,49,0.01639344262295082
108,1,2,50,0.015625
109,1,2,51,0.0
110,1,2,52,0.013888888888888888
111,1,2,53,0.0
112,1,2,54,0.0
113,1,2,55,0.0
114,1,2,56,0.058823529411764705
115,1,2,57,0.0
116,1,3,3,0.0
117,1,3,4,0.0
118,1,3,5,0.007575757575757576
119,1,3,6,0.0
120,1,3,7,0.007692307692307693
121,1,3,8,0.0
122,1,3,9,0.0
123,1,3,10,0.0
124,1,3,11,0.017857142857142856
125,1,3,12,0.0
126,1,3,13,0.014925373134328358
127,1,3,14,0.0
128,1,3,15,0.0
129,1,3,16,0.0
130,1,3,17,0.0
131,1,3,18,0.0
132,1,3,19,0.014705882352941176
133,1,3,20,0.007352941176470588
134,1,3,21,0.014285714285714285
135,1,3,22,0.014925373134328358
136,1,3,23,0.0
137,1,3,24,0.0
138,1,3,25,0.0
139,1,3,26,0.0
140,1,3,27,0.0
141,1,3,28,0.0
142,1,3,29,0.0
143,1,3,30,0.0
144,1,3,31,0.0
145,1,3,32,0.008620689655172414
146,1,3,33,0.0
147,1,3,34,0.0
148,1,3,35,0.0
149,1,3,36,0.0
150,1,3,37,0.008620689655172414
151,1,3,38,0.0
152,1,3,39,0.0
153,1,3,40,0.0
154,1,3,41,0.0
155,1,3,42,0.0
156,1,3,43,0.0
157,1,3,44,0.0
158,1,3,45,0.0
159,1,3,46,0.0
160,1,3,47,0.0
161,1,3,48,0.0
162,1,3,49,0.0
163,1,3,50,0.0
164,1,3,51,0.0
165,1,3,52,0.020833333333333332
166,1,3,53,0.0
167,1,3,54,0.0
168,1,3,55,0.0
169,1,3,56,0.0
170,1,3,57,0.0
171,1,3,58,0.0
172,1,3,59,0.0
173,1,3,60,0.0
174,1,3,61,0.0
175,1,3,62,0.0
176,1,3,63,0.0
177,1,3,64,0.0
178,1,3,65,0.0
179,1,3,66,0.0
180,1,3,67,0.0
181,1,4,3,0.0
182,1,4,4,0.0
183,1,4,5,0.0
184,1,4,6,0.006896551724137931
185,1,4,7,0.006493506493506494
186,1,4,8,0.006578947368421052
187,1,4,9,0.013333333333333334
188,1,4,10,0.0
189,1,4,11,0.0
190,1,4,12,0.0
191,1,4,13,0.011764705882352941
192,1,4,14,0.006211180124223602
193,1,4,15,0.0
194,1,4,16,0.0
195,1,4,17,0.023255813953488372
196,1,4,18,0.0
197,1,4,19,0.0
198,1,4,20,0.0
199,1,4,21,0.03164556962025317
200,1,4,22,0.0
201,1,4,23,0.012987012987012988
202,1,4,24,0.012987012987012988
203,1,4,25,0.0
204,1,4,26,0.01282051282051282
205,1,4,27,0.0273972602739726
206,1,4,28,0.0
207,1,4,29,0.0
208,1,4,30,0.017391304347826087
209,1,4,31,0.018518518518518517
210,1,4,32,0.0
211,1,4,33,0.0
212,1,4,34,0.0
213,1,4,35,0.0
214,1,4,36,0.0
215,1,4,37,0.016129032258064516
216,1,4,38,0.014705882352941176
217,1,4,39,0.0
218,1,4,40,0.0
219,1,4,41,0.0
220,1,4,42,0.0
221,1,4,43,0.007142857142857143
222,1,4,44,0.0
223,1,4,45,0.0
224,1,4,46,0.0
225,1,4,47,0.0
226,1,4,48,0.014705882352941176
227,1,4,49,0.0
228,1,4,50,0.00909090909090909
229,1,4,51,0.0
230,1,4,52,0.0
231,1,4,53,0.01694915254237288
232,1,4,54,0.0
233,1,4,55,0.0
234,1,4,56,0.0
235,1,4,57,0.019230769230769232
236,1,4,58,0.0
237,1,4,59,0.0
238,1,4,60,0.0
239,1,5,3,0.0
240,1,5,4,0.0
241,1,5,5,0.0
242,1,5,6,0.0
243,1,5,7,0.0
244,1,5,8,0.007575757575757576
245,1,5,9,0.0
246,1,5,10,0.015873015873015872
247,1,5,11,0.008333333333333333
248,1,5,12,0.0
249,1,5,13,0.025
250,1,5,14,0.0
251,1,5,15,0.016129032258064516
252,1,5,16,0.0
253,1,5,17,0.0
254,1,5,18,0.0
255,1,5,19,0.0
256,1,5,20,0.015151515151515152
257,1,5,21,0.0
258,1,5,22,0.0
259,1,5,23,0.0
260,1,5,24,0.017543859649122806
261,1,5,25,0.0
262,1,5,26,0.0
263,1,5,27,0.0
264,1,5,28,0.0
265,1,5,29,0.0
266,1,5,30,0.0
267,1,5,31,0.018518518518518517
268,1,5,32,0.017857142857142856
269,1,5,33,0.0
270,1,5,34,0.0
271,1,5,35,0.0
272,1,5,36,0.0
273,1,5,37,0.0
274,1,5,38,0.0
275,1,5,39,0.0
276,1,5,40,0.0
277,1,5,41,0.0
278,1,5,42,0.0
279,1,5,43,0.025
280,1,5,44,0.0
281,1,5,45,0.022727272727272728
282,1,5,46,0.0
283,1,5,47,0.0
284,1,5,48,0.024390243902439025
285,1,5,49,0.0
286,1,5,50,0.027777777777777776
287,1,5,51,0.0
288,1,5,52,0.0
289,1,5,53,0.0
290,1,5,54,0.0
291,1,5,55,0.0
292,1,5,56,0.0
293,1,5,57,0.0
294,1,5,58,0.0
295,1,5,59,0.0
296,1,5,60,0.0
297,1,5,61,0.0
298,1,5,62,0.0
299,1,5,63,0.0
300,1,5,64,0.0
301,1,5,65,0.0
302,1,5,66,0.0
303,1,5,67,0.0
304,1,5,68,0.0
305,1,5,69,0.0
306,1,6,3,0.0
307,1,6,4,0.006756756756756757
308,1,6,5,0.0
309,1,6,6,0.00684931506849315
310,1,6,7,0.012195121951219513
311,1,6,8,0.012658227848101266
312,1,6,9,0.0
313,1,6,10,0.0
314,1,6,11,0.00641025641025641
315,1,6,12,0.0
316,1,6,13,0.0
317,1,6,14,0.024691358024691357
318,1,6,15,0.0
319,1,6,16,0.0
320,1,6,17,0.0
321,1,6,18,0.0
322,1,6,19,0.0
323,1,6,20,0.0
324,1,6,21,0.012658227848101266
325,1,6,22,0.0
326,1,6,23,0.0
327,1,6,24,0.0
328,1,6,25,0.0
329,1,6,26,0.012658227848101266
330,1,6,27,0.0
331,1,6,28,0.0
332,1,6,29,0.0
333,1,6,30,0.0
334,1,6,31,0.0
335,1,6,32,0.008
336,1,6,33,0.016260162601626018
337,1,6,34,0.0
338,1,6,35,0.0
339,1,6,36,0.0
340,1,6,37,0.0
341,1,6,38,0.0
342,1,6,39,0.0
343,1,6,40,0.0
344,1,6,41,0.008620689655172414
345,1,6,42,0.0
346,1,6,43,0.0
347,1,6,44,0.017543859649122806
348,1,6,45,0.0
349,1,6,46,0.0
350,1,6,47,0.0
351,1,6,48,0.0
352,1,6,49,0.0
353,1,6,50,0.0
354,1,6,51,0.0
355,1,6,52,0.02564102564102564
356,1,6,53,0.0
357,1,6,54,0.0
358,1,6,55,0.0
359,1,6,56,0.0
360,1,6,57,0.0
361,1,6,58,0.0
362,1,6,59,0.0
363,1,7,3,0.0
364,1,7,4,0.0
365,1,7,5,0.006711409395973154
366,1,7,6,0.0
367,1,7,7,0.0
368,1,7,8,0.0
369,1,7,9,0.0
370,1,7,10,0.01904761904761905
371,1,7,11,0.0
372,1,7,12,0.0
373,1,7,13,0.0
374,1,7,14,0.0
375,1,7,15,0.0
376,1,7,16,0.0
377,1,7,17,0.0
378,1,7,18,0.0
379,1,7,19,0.0
380,1,7,20,0.0
381,1,7,21,0.026785714285714284
382,1,7,22,0.00980392156862745
383,1,7,23,0.0
384,1,7,24,0.0
385,1,7,25,0.0
386,1,7,26,0.0
387,1,7,27,0.0
388,1,7,28,0.0
389,1,7,29,0.030303030303030304
390,1,7,30,0.0
391,1,7,31,0.0
392,1,7,32,0.0
393,1,7,33,0.0
394,1,7,34,0.0
395,1,7,35,0.0
396,1,7,36,0.03571428571428571
397,1,7,37,0.0
398,1,7,38,0.0
399,1,7,39,0.0
400,1,7,40,0.0
401,1,7,41,0.0
402,1,8,3,0.0
403,1,8,4,0.019867549668874173
404,1,8,5,0.01875
405,1,8,6,0.02158273381294964
406,1,8,7,0.0
407,1,8,8,0.013513513513513514
408,1,8,9,0.019736842105263157
409,1,8,10,0.0
410,1,8,11,0.012658227848101266
411,1,8,12,0.0
412,1,8,13,0.0
413,1,8,14,0.006756756756756757
414,1,8,15,0.006711409395973154
415,1,8,16,0.0
416,1,8,17,0.0
417,1,8,18,0.0
418,1,8,19,0.0
419,1,8,20,0.011904761904761904
420,1,8,21,0.012345679012345678
421,1,8,22,0.0
422,1,8,23,0.0
423,1,8,24,0.0
424,1,8,25,0.0
425,1,8,26,0.0
426,1,8,27,0.0125
427,1,8,28,0.0
428,1,8,29,0.0
429,1,8,30,0.0
430,1,8,31,0.0
431,1,8,32,0.0
432,1,8,33,0.0
433,1,8,34,0.006756756756756757
434,1,8,35,0.014285714285714285
435,1,8,36,0.0
436,1,8,37,0.02
437,1,8,38,0.0136986301369863
438,1,8,39,0.0
439,1,8,40,0.0
440,1,8,41,0.013888888888888888
441,1,8,42,0.0
442,1,8,43,0.0078125
443,1,8,44,0.0
444,1,8,45,0.0
445,1,8,46,0.0
446,1,8,47,0.0
447,1,8,48,0.0
448,1,8,49,0.0
449,1,8,50,0.0
450,1,8,51,0.0
451,1,8,52,0.007692307692307693
452,1,8,53,0.0
453,1,8,54,0.0
454,1,9,3,0.0
455,1,9,4,0.0
456,1,9,5,0.0
457,1,9,6,0.025974025974025976
458,1,9,7,0.019736842105263157
459,1,9,8,0.0
460,1,9,9,0.0
461,1,9,10,0.0
462,1,9,11,0.0
463,1,9,12,0.023076923076923078
464,1,9,13,0.0
465,1,9,14,0.0
466,1,9,15,0.0
467,1,9,16,0.0
468,1,9,17,0.0
469,1,9,18,0.0
470,1,9,19,0.0
471,1,9,20,0.014285714285714285
472,1,9,21,0.0
473,1,9,22,0.0
474,1,9,23,0.0
475,1,9,24,0.0
476,1,9,25,0.0
477,1,9,26,0.011627906976744186
478,1,9,27,0.0
479,1,9,28,0.0
480,1,9,29,0.0
481,1,9,30,0.0
482,1,9,31,0.0
483,1,9,32,0.0
484,1,9,33,0.0
485,1,9,34,0.0
486,1,9,35,0.0
487,1,9,36,0.0
488,1,9,37,0.0
489,1,9,38,0.0
490,1,9,39,0.0
491,1,9,40,0.0
492,1,9,41,0.013888888888888888
493,1,9,42,0.0
494,1,9,43,0.0
495,1,9,44,0.0
496,1,9,45,0.0
497,1,9,46,0.0
498,1,9,47,0.02040816326530612
499,1,9,48,0.0
500,1,9,49,0.0
501,1,9,50,0.0
502,1,9,51,0.0
503,1,9,52,0.0
504,1,9,53,0.0
505,1,9,54,0.0
506,1,9,55,0.0
507,1,9,56,0.0
508,1,9,57,0.0
509,1,9,58,0.013157894736842105
510,1,9,59,0.02702702702702703
511,1,9,60,0.0
512,1,9,61,0.023809523809523808
513,1,9,62,0.0
514,1,9,63,0.0196078431372549
515,1,9,64,0.0
516,1,10,3,0.0
517,1,10,4,0.0
518,1,10,5,0.0
519,1,10,6,0.0
520,1,10,7,0.0
521,1,10,8,0.03676470588235294
522,1,10,9,0.0
523,1,10,10,0.0
524,1,10,11,0.0
525,1,10,12,0.0
526,1,10,13,0.0
527,1,10,14,0.007246376811594203
528,1,10,15,0.0
529,1,10,16,0.0
530,1,10,17,0.0
531,1,10,18,0.0
532,1,10,19,0.010638297872340425
533,1,10,20,0.020833333333333332
534,1,10,21,0.010869565217391304
535,1,10,22,0.0
536,1,10,23,0.023255813953488372
537,1,10,24,0.0
538,1,10,25,0.021739130434782608
539,1,10,26,0.011627906976744186
540,1,10,27,0.01282051282051282
541,1,10,28,0.0
542,1,10,29,0.0
543,1,10,30,0.0
544,1,10,31,0.0
545,1,10,32,0.0
546,1,10,33,0.0
547,1,10,34,0.044444444444444446
548,1,10,35,0.0
549,1,10,36,0.0
550,2,1,3,0.0
551,2,1,4,0.0
552,2,1,5,0.0
553,2,1,6,0.0
554,2,1,7,0.007692307692307693
555,2,1,8,0.015267175572519083
556,2,1,9,0.017857142857142856
557,2,1,10,0.0
558,2,1,11,0.0
559,2,1,12,0.0
560,2,1,13,0.018518518518518517
561,2,1,14,0.0
562,2,1,15,0.0
563,2,1,16,0.0
564,2,1,17,0.0
565,2,1,18,0.0
566,2,1,19,0.010416666666666666
567,2,1,20,0.0
568,2,1,21,0.0
569,2,1,22,0.0
570,2,1,23,0.0
571,2,1,24,0.0
572,2,1,25,0.0
573,2,1,26,0.0
574,2,1,27,0.0
575,2,1,28,0.0
576,2,1,29,0.0
577,2,1,30,0.0
578,2,1,31,0.0
579,2,1,32,0.0
580,2,1,33,0.0
581,2,1,34,0.015151515151515152
582,2,1,35,0.0
583,2,1,36,0.0
584,2,1,37,0.0
585,2,1,38,0.0
586,2,1,39,0.0
587,2,1,40,0.0
588,2,1,41,0.0
589,2,1,42,0.0
590,2,1,43,0.0
591,2,1,44,0.0
592,2,1,45,0.0
593,2,1,46,0.0
594,2,1,47,0.0
595,2,1,48,0.0
596,2,1,49,0.0
597,2,1,50,0.0
598,2,1,51,0.0
599,2,1,52,0.0
600,2,1,53,0.0
601,2,1,54,0.0
602,2,1,55,0.0
603,2,1,56,0.020833333333333332
604,2,1,57,0.0
605,2,1,58,0.0
606,2,1,59,0.0
607,2,1,60,0.0
608,2,1,61,0.0
609,2,1,62,0.0
610,2,1,63,0.0
611,2,1,64,0.0
612,2,1,65,0.0
613,2,1,66,0.0
614,2,1,67,0.0
615,2,1,68,0.0
616,2,1,69,0.0
617,2,1,70,0.0
618,2,1,71,0.0
619,2,1,72,0.0
620,2,1,73,0.0
621,2,1,74,0.0
622,2,1,75,0.0
623,2,1,76,0.0
624,2,1,77,0.0
625,2,1,78,0.0
626,2,2,3,0.0
627,2,2,4,0.0196078431372549
628,2,2,5,0.03424657534246575
629,2,2,6,0.0
630,2,2,7,0.0
631,2,2,8,0.0
632,2,2,9,0.008849557522123894
633,2,2,10,0.0
634,2,2,11,0.0
635,2,2,12,0.008064516129032258
636,2,2,13,0.07258064516129033
637,2,2,14,0.0
638,2,2,15,0.015625
639,2,2,16,0.014705882352941176
640,2,2,17,0.0078125
641,2,2,18,0.016666666666666666
642,2,2,19,0.0
643,2,2,20,0.0
644,2,2,21,0.0
645,2,2,22,0.0
646,2,2,23,0.0
647,2,2,24,0.027777777777777776
648,2,2,25,0.0
649,2,2,26,0.00909090909090909
650,2,2,27,0.0
651,2,2,28,0.02040816326530612
652,2,2,29,0.0
653,2,2,30,0.0
654,2,2,31,0.0
655,2,2,32,0.0
656,2,2,33,0.0
657,2,2,34,0.0
658,2,2,35,0.0
659,2,2,36,0.0
660,2,2,37,0.0
661,2,2,38,0.0
662,2,2,39,0.0
663,2,2,40,0.0
664,2,2,41,0.0
665,2,2,42,0.0
666,2,2,43,0.0
667,2,2,44,0.0
668,2,2,45,0.0
669,2,2,46,0.0
670,2,2,47,0.0
671,2,2,48,0.0
672,2,2,49,0.013888888888888888
673,2,2,50,0.0
674,2,2,51,0.0
675,2,2,52,0.0
676,2,2,53,0.0
677,2,2,54,0.0
678,2,2,55,0.038461538461538464
679,2,2,56,0.0
680,2,2,57,0.0
681,2,2,58,0.0
