essround,idno,yrbrn,agea,eisced,gndr,hincsrca,bthcld,eiscedp,eiscedf,eiscedm,hinctnta,iincsrc
1,4,9999,999,99,9,,,,,,,
1,9,9999,999,2,2,,,,,,,
1,11,1934,69,1,2,,,,,,,
1,13,1961,41,7,2,,,,,,,
1,16,1957,45,4,2,,,,,,,
1,17,1960,42,7,2,,,,,,,
1,18,1962,41,7,2,,,,,,,
1,19,9999,999,3,1,,,,,,,
1,20,9999,999,2,2,,,,,,,
1,23,9999,999,4,2,,,,,,,
1,27,1985,18,2,1,,,,,,,
1,28,1975,27,6,1,,,,,,,
1,35,1959,44,4,1,,,,,,,
1,36,1940,62,4,1,,,,,,,
1,37,1946,56,7,2,,,,,,,
1,38,1930,72,7,1,,,,,,,
1,39,1958,45,1,1,,,,,,,
1,40,1956,46,4,1,,,,,,,
1,44,1941,61,7,2,,,,,,,
1,45,1945,58,7,2,,,,,,,
1,46,1948,54,6,2,,,,,,,
1,47,1985,17,2,2,,,,,,,
1,48,1957,45,6,1,,,,,,,
1,49,1971,31,2,1,,,,,,,
1,50,1981,21,2,1,,,,,,,
1,51,1977,25,6,2,,,,,,,
1,52,1948,54,7,2,,,,,,,
1,53,1955,47,1,2,,,,,,,
1,55,1956,46,2,2,,,,,,,
1,56,1930,72,2,2,,,,,,,
1,57,1968,34,7,1,,,,,,,
1,58,1955,47,4,2,,,,,,,
1,59,1924,78,2,2,,,,,,,
1,60,1934,68,2,2,,,,,,,
1,66,1956,46,1,2,,,,,,,
1,67,1972,31,7,2,,,,,,,
1,68,1973,29,6,1,,,,,,,
1,70,1921,81,88,2,,,,,,,
1,72,1954,49,2,2,,,,,,,
1,73,1961,41,7,2,,,,,,,
1,74,1965,37,7,2,,,,,,,
1,75,1973,29,7,2,,,,,,,
1,76,1970,32,4,1,,,,,,,
1,77,1975,27,7,1,,,,,,,
1,82,9999,999,99,9,,,,,,,
1,83,1967,35,7,2,,,,,,,
1,84,1936,66,4,1,,,,,,,
1,85,1948,55,6,1,,,,,,,
1,86,1982,20,4,2,,,,,,,
1,87,1962,40,2,1,,,,,,,
1,88,9999,999,3,1,,,,,,,
1,89,9999,999,1,2,,,,,,,
1,90,1957,45,2,1,,,,,,,
1,91,1972,31,4,1,,,,,,,
1,92,1965,37,7,1,,,,,,,
1,93,1978,24,4,2,,,,,,,
1,94,9999,999,4,1,,,,,,,
1,95,1986,16,2,1,,,,,,,
1,96,1941,61,7,2,,,,,,,
1,97,1960,42,7,1,,,,,,,
1,98,9999,999,2,2,,,,,,,
1,99,9999,999,4,2,,,,,,,
1,100,9999,999,6,2,,,,,,,
1,101,9999,999,7,2,,,,,,,
1,102,9999,999,7,2,,,,,,,
1,103,9999,999,6,2,,,,,,,
1,104,1984,18,2,2,,,,,,,
1,105,1921,81,1,2,,,,,,,
1,106,9999,999,99,9,,,,,,,
1,107,1927,75,7,2,,,,,,,
1,108,1940,63,2,1,,,,,,,
1,109,1944,58,4,2,,,,,,,
1,110,1948,54,6,2,,,,,,,
1,111,1962,40,7,2,,,,,,,
1,112,1965,37,7,1,,,,,,,
1,113,1968,34,7,2,,,,,,,
1,114,1971,31,7,2,,,,,,,
1,115,1974,28,7,1,,,,,,,
1,116,1982,20,4,2,,,,,,,
1,117,1939,64,1,2,,,,,,,
1,118,9999,999,7,1,,,,,,,
1,119,1974,29,6,2,,,,,,,
1,120,9999,999,7,1,,,,,,,
1,121,9999,999,4,1,,,,,,,
1,122,1955,47,2,1,,,,,,,
1,123,1960,42,7,1,,,,,,,
1,124,1981,21,4,2,,,,,,,
1,125,1945,57,4,2,,,,,,,
1,126,1978,24,7,1,,,,,,,
1,127,1953,49,55,2,,,,,,,
1,128,1937,65,4,2,,,,,,,
1,129,1984,18,4,2,,,,,,,
1,130,1958,44,7,1,,,,,,,
1,131,1964,38,3,1,,,,,,,
1,132,1969,33,4,1,,,,,,,
1,133,1954,48,1,2,,,,,,,
1,134,1959,43,6,2,,,,,,,
1,135,1975,999,7,1,,,,,,,
1,136,1948,54,7,2,,,,,,,
1,137,1931,71,1,1,,,,,,,
1,138,9999,999,6,2,,,,,,,
