,AgentID,Step,Age,Edu_level,Gender,Income,Generation,Cohort,Weight,Capital,Brut,Child1,Child2,Child3,Mother,Father,Partner,Education,Cultural,Economic,Social,Child1_Edu,Child2_Edu,Child3_Edu,Child1_Income,Child2_Income,Child3_Income,Mother_Edu,Father_Edu,Mother_Income,Father_Income,Spouse_Edu,Mother_Cultural,Mother_Economic,Mother_Social,Father_Cultural,Father_Economic,Father_Social,Scenario,Replication
0,0,12,63,4,M,502.216,1,2,"[6, 2, 9]","['0.64', '0.377', '0.587']",250.0,627,664,,,,157.0,Lower Tertiary,0.64,0.377,0.587,5,4,,582.745,725.179,,,,,,4.0,,,,,,,1,1
1,1,15,56,3,F,646.972,1,2,"[2, 3, 6]","['0.36', '0.526', '0.757']",314.0,520,524,719,,,400.0,Upper Secondary,0.36,0.526,0.757,3,3,3,234.392,258.565,628.553,,,,,2.0,,,,,,,1,1
2,10,1,60,4,F,332.933,1,1,"[4, 9, 8]","['0.56', '0.395', '0.632']",273.0,,,,,,,Lower Tertiary,0.56,0.395,0.632,,,,,,,,,,,,,,,,,,1,1
3,100,12,59,4,M,317.003,1,2,"[3, 1, 10]","['0.52', '0.218', '0.868']",382.0,,,,,,138.0,Lower Tertiary,0.52,0.218,0.868,,,,,,,,,,,3.0,,,,,,,1,1
4,1000,56,66,2,F,422.335,4,5,"[6, 7, 9]","['0.32', '0.449', '0.981']",409.0,1191,,,753,839,1081.0,Lower Secondary,0.32,0.449,0.981,1,,,544.036,,,2,2,560.211,657.175,2.0,0.4,0.56,0.68,0.36,0.616,0.996,1,1
5,1001,55,64,4,M,735.316,4,5,"[9, 5, 9]","['0.76', '0.689', '0.866']",362.0,1187,,,762,842,924.0,Lower Tertiary,0.76,0.689,0.866,5,,,535.592,,,4,2,796.154,618.813,4.0,0.52,0.945,0.492,0.24,0.657,0.902,1,1
6,1002,55,64,5,F,594.102,4,5,"[3, 6, 7]","['0.65', '0.594', '0.995']",415.0,1296,,,660,678,1046.0,Upper Tertiary,0.65,0.594,0.995,2,,,728.401,,,4,5,83.214,113.036,3.0,0.76,0.083,0.887,0.75,0.092,0.748,1,1
7,1003,56,66,2,F,492.224,4,5,"[4, 3, 9]","['0.28', '0.4', '0.978']",404.0,1267,1295,,618,649,1048.0,Lower Secondary,0.28,0.4,0.978,3,4,,765.409,337.396,,3,4,57.776,104.126,2.0,0.48,0.069,0.937,0.48,0.085,0.958,1,1
8,1004,55,64,5,F,793.96,3,5,"[5, 4, 8]","['0.75', '0.695', '0.998']",408.0,,,,611,692,,Upper Tertiary,0.75,0.695,0.998,,,,,,,4,5,172.366,184.964,,0.6,0.194,0.949,0.6,0.15,0.848,1,1
9,1005,55,64,3,M,266.761,4,5,"[10, 6, 10]","['0.6', '0.267', '0.919']",376.0,1205,,,787,813,934.0,Upper Secondary,0.6,0.267,0.919,4,,,448.983,,,3,4,101.194,142.997,3.0,0.51,0.089,0.945,0.6,0.17,0.978,1,1
