,AgentID,Step,Age,Edu_level,Gender,Income,Generation,Cohort,Weight,Capital,Brut,Child1,Child2,Mother,Father,Partner,Education,Cultural,Economic,Social,Child1_Edu,Child2_Edu,Child1_Income,Child2_Income,Mother_Edu,Father_Edu,Mother_Income,Father_Income,Mother_Cultural,Mother_Economic,Mother_Social,Father_Cultural,Father_Economic,Father_Social,Scenario,Replication
0,0,3,59,2,M,767.623,1,1,"[4, 10, 2]","['0.28', '0.96', '0.777']",384.0,671,,,,339.0,Lower Secondary,0.28,0.96,0.777,4,,786.503,,,,,,,,,,,,1,4
1,1,1,54,4,F,528.218,1,1,"[10, 1, 10]","['0.8', '0.363', '0.576']",268.0,,,,,142.0,Lower Tertiary,0.8,0.363,0.576,,,,,,,,,,,,,,,1,4
2,10,17,62,2,M,576.992,1,2,"[10, 1, 10]","['0.4', '0.397', '0.757']",370.0,,,,,493.0,Lower Secondary,0.4,0.397,0.757,,,,,,,,,,,,,,,1,4
3,100,18,58,4,M,576.664,1,2,"[3, 3, 2]","['0.52', '0.469', '0.601']",280.0,683,706,,,283.0,Lower Tertiary,0.52,0.469,0.601,3,4,137.1,621.646,,,,,,,,,,,1,4
4,1000,51,34,5,M,788.363,4,5,"[1, 10, 10]","['0.55', '0.985', '0.513']",256.0,1232,1246,767,766,1056.0,Upper Tertiary,0.55,0.985,0.513,5,3,790.545,796.627,4,4,712.158,285.86,0.52,0.49,0.766,0.52,0.304,0.9,1,4
5,1001,50,32,3,M,84.554,4,5,"[8, 10, 2]","['0.54', '0.106', '0.936']",468.0,1201,1221,872,846,1006.0,Upper Secondary,0.54,0.106,0.936,3,3,762.5,534.729,4,2,289.253,69.104,0.44,0.307,0.912,0.32,0.06,0.653,1,4
6,1002,51,34,4,M,762.646,4,5,"[2, 9, 7]","['0.48', '0.906', '0.982']",490.0,1211,1272,800,802,1023.0,Lower Tertiary,0.48,0.906,0.982,1,1,754.667,782.587,5,4,740.203,797.422,0.8,0.879,0.88,0.64,0.847,0.952,1,4
7,1003,61,54,5,F,701.523,4,6,"[8, 2, 7]","['0.9', '0.526', '0.748']",374.0,1203,1212,861,853,994.0,Upper Tertiary,0.9,0.526,0.748,5,5,521.569,735.69,4,4,440.425,570.404,0.52,0.523,0.88,0.56,0.499,0.941,1,4
8,1004,69,70,3,F,31.753,4,6,"[9, 1, 7]","['0.57', '0.022', '0.914']",457.0,1204,1226,822,830,973.0,Upper Secondary,0.57,0.022,0.914,3,5,540.359,513.008,4,5,746.428,390.058,0.48,0.513,0.55,0.6,0.317,0.649,1,4
9,1005,66,64,2,F,227.107,5,7,"[5, 2, 8]","['0.3', '0.17', '0.916']",458.0,1202,1234,847,860,971.0,Lower Secondary,0.3,0.17,0.916,5,4,740.575,460.283,1,3,783.146,581.572,0.15,0.832,0.962,0.36,0.436,0.864,1,4
10,1006,61,54,3,F,87.757,5,6,"[3, 6, 3]","['0.39', '0.088', '0.799']",398.0,1201,1221,923,941,1001.0,Upper Secondary,0.39,0.088,0.799,3,3,762.5,534.729,4,3,203.087,433.401,0.6,0.178,0.99,0.39,0.46,0.952,1,4
11,1007,51,34,3,M,746.205,4,5,"[10, 4, 6]","['0.6', '0.653', '0.962']",480.0,1208,1261,796,824,1031.0,Upper Secondary,0.6,0.653,0.962,5,4,781.53,256.665,4,5,330.576,688.102,0.76,0.393,0.952,0.65,0.559,0.97,1,4
12,1008,50,32,5,F,769.12,4,5,"[5, 4, 5]","['0.75', '0.673', '0.92']",459.0,1199,1230,788,832,989.0,Upper Tertiary,0.75,0.673,0.92,5,5,781.614,648.821,5,5,760.643,681.027,0.95,0.856,0.936,1.0,0.851,0.563,1,4
13,1009,62,56,4,M,238.038,4,6,"[6, 7, 2]","['0.64', '0.253', '0.612']",306.0,1235,1284,897,886,1041.0,Lower Tertiary,0.64,0.253,0.612,5,3,554.257,157.567,2,3,210.46,3.651,0.24,0.263,0.816,0.6,0.003,0.988,1,4
14,101,1,60,1,M,524.144,1,1,"[5, 1, 9]","['0.15', '0.36', '0.96']",454.0,,,,,,Primary,0.15,0.36,0.96,,,,,,,,,,,,,,,1,4
15,1010,64,60,5,M,709.893,4,6,"[10, 5, 3]","['1.0', '0.666', '0.412']",206.0,1217,1271,849,889,1037.0,Upper Tertiary,1.0,0.666,0.412,5,5,579.063,529.938,5,5,662.858,487.493,1.0,0.663,0.954,0.9,0.335,0.926,1,4
16,1011,61,54,4,F,710.814,4,6,"[5, 7, 8]","['0.6', '0.755', '0.83']",415.0,1200,1213,854,857,1020.0,Lower Tertiary,0.6,0.755,0.83,4,4,797.911,760.335,5,5,643.711,672.627,0.8,0.805,0.941,0.8,0.715,0.954,1,4
17,1012,62,56,4,M,152.285,4,6,"[2, 9, 3]","['0.48', '0.181', '0.662']",331.0,1227,1257,823,891,1022.0,Lower Tertiary,0.48,0.181,0.662,3,3,33.82,116.165,5,4,703.682,797.121,0.75,0.572,0.97,0.64,0.598,0.942,1,4
18,1013,64,60,5,F,375.47,5,6,"[9, 6, 9]","['0.95', '0.375', '0.966']",483.0,1205,1214,901,879,1036.0,Upper Tertiary,0.95,0.375,0.966,5,1,792.101,51.044,5,4,371.421,284.195,0.85,0.418,0.715,0.64,0.249,0.928,1,4
19,1014,68,68,5,F,620.621,4,6,"[10, 10, 8]","['1.0', '0.776', '0.804']",401.0,1206,1209,919,904,1015.0,Upper Tertiary,1.0,0.776,0.804,5,5,739.091,756.362,4,4,647.83,448.174,0.72,0.486,0.881,0.64,0.532,0.958,1,4
20,1015,51,34,5,M,720.36,4,5,"[7, 6, 2]","['0.85', '0.72', '0.866']",433.0,1206,1209,873,888,1014.0,Upper Tertiary,0.85,0.72,0.866,5,5,739.091,756.362,5,4,580.834,596.543,0.55,0.726,0.812,0.48,0.634,0.878,1,4
21,1016,50,30,5,F,743.81,4,5,"[1, 3, 8]","['0.55', '0.604', '0.984']",491.0,1220,1290,800,802,996.0,Upper Tertiary,0.55,0.604,0.984,4,3,670.75,686.702,5,4,740.203,797.422,0.8,0.879,0.88,0.64,0.847,0.952,1,4
22,1017,63,56,2,M,106.161,5,6,"[3, 5, 9]","['0.26', '0.1', '0.212']",106.0,1228,1260,848,801,1055.0,Lower Secondary,0.26,0.1,0.212,4,5,482.451,339.124,3,2,263.448,105.772,0.39,0.181,0.962,0.22,0.132,0.998,1,4
