,AgentID,Step,Age,Edu_level,Gender,Income,Generation,Cohort,Weight,Capital,Brut,Child1,Child2,Mother,Father,Partner,Education,Cultural,Economic,Social,Child1_Edu,Child2_Edu,Child1_Income,Child2_Income,Mother_Edu,Father_Edu,Mother_Income,Father_Income,Spouse_Edu,Mother_Cultural,Mother_Economic,Mother_Social,Father_Cultural,Father_Economic,Father_Social,Scenario,Replication
0,0,12,45,4,M,413.371,1,2,"[1, 9, 7]","['0.44', '0.491', '0.604']",294.0,511,606,,,338.0,Lower Tertiary,0.44,0.491,0.604,1,2,712.228,592.411,,,,,3.0,,,,,,,1,7
1,1,25,69,5,M,314.781,1,3,"[5, 9, 6]","['0.75', '0.374', '0.492']",236.0,504,610,,,406.0,Upper Tertiary,0.75,0.374,0.492,3,2,274.001,203.127,,,,,4.0,,,,,,,1,7
2,10,0,57,1,F,164.519,1,1,"[5, 3, 5]","['0.15', '0.134', '0']",,,,,,,Primary,0.15,0.134,0,,,,,,,,,,,,,,,,1,7
3,100,0,41,2,M,251.909,1,1,"[5, 6, 4]","['0.3', '0.252', '0']",,,,,,,Lower Secondary,0.3,0.252,0,,,,,,,,,,,,,,,,1,7
4,1000,47,46,1,M,625.073,4,5,"[10, 1, 5]","['0.2', '0.43', '0.717']",354.0,1371,,822,879,1006.0,Primary,0.2,0.43,0.717,1,,647.813,,1,2,165.903,420.234,1.0,0.13,0.187,0.908,0.4,0.368,0.455,1,7
5,1001,58,68,1,M,577.498,4,6,"[2, 7, 4]","['0.12', '0.614', '0.417']",206.0,1259,1270,849,916,995.0,Primary,0.12,0.614,0.417,1,1,769.278,626.137,1,1,337.926,647.242,1.0,0.14,0.338,0.859,0.12,0.607,0.49,1,7
6,1002,49,50,1,F,793.02,4,5,"[2, 8, 3]","['0.12', '0.892', '0.984']",486.0,1234,,860,834,1044.0,Primary,0.12,0.892,0.984,1,,798.903,,1,1,234.656,517.109,1.0,0.16,0.205,0.628,0.16,0.388,0.613,1,7
7,1003,60,72,1,F,559.75,4,6,"[1, 3, 3]","['0.11', '0.455', '0.533']",264.0,1194,1216,779,854,1043.0,Primary,0.11,0.455,0.533,1,1,492.99,605.551,1,1,205.752,56.415,1.0,0.18,0.193,0.965,0.11,0.071,0.764,1,7
8,1004,56,64,2,M,39.527,5,6,"[9, 5, 10]","['0.38', '0.037', '0.972']",480.0,1260,1335,803,813,1007.0,Lower Secondary,0.38,0.037,0.972,1,3,277.415,569.294,2,3,92.443,78.268,3.0,0.34,0.087,0.866,0.36,0.054,0.77,1,7
9,1005,47,46,2,F,622.193,4,5,"[2, 2, 6]","['0.24', '0.467', '0.335']",165.0,1193,1209,869,914,1009.0,Lower Secondary,0.24,0.467,0.335,1,1,4.143,241.962,2,1,454.053,744.244,1.0,0.34,0.511,0.882,0.17,0.837,0.531,1,7
10,1006,59,70,1,F,78.438,5,6,"[4, 10, 7]","['0.14', '0.098', '0.779']",385.0,1371,,859,908,1000.0,Primary,0.14,0.098,0.779,1,,647.813,,2,3,78.272,347.738,1.0,0.22,0.078,0.836,0.33,0.304,0.492,1,7
11,1007,48,48,3,F,630.096,4,5,"[10, 1, 8]","['0.6', '0.433', '0.804']",397.0,1260,1335,870,766,1004.0,Upper Secondary,0.6,0.433,0.804,1,3,277.415,569.294,3,3,776.035,379.651,2.0,0.45,0.631,0.369,0.54,0.427,0.283,1,7
12,1008,55,62,1,F,669.99,4,6,"[9, 7, 5]","['0.19', '0.712', '0.909']",450.0,1224,1322,864,903,1039.0,Primary,0.19,0.712,0.909,1,1,733.43,498.032,1,1,612.969,369.838,1.0,0.18,0.536,0.778,0.11,0.439,0.956,1,7
13,1009,54,60,1,M,782.265,4,5,"[7, 4, 5]","['0.17', '0.684', '0.308']",153.0,1193,1209,773,815,1005.0,Primary,0.17,0.684,0.308,1,1,4.143,241.962,1,1,723.453,737.213,2.0,0.12,0.678,0.719,0.15,0.783,0.695,1,7
14,101,5,54,2,F,261.015,1,1,"[1, 7, 4]","['0.22', '0.277', '0.919']",429.0,,,,,,Lower Secondary,0.22,0.277,0.919,,,,,,,,,,,,,,,,1,7
15,1010,57,66,1,M,798.354,4,6,"[4, 5, 9]","['0.14', '0.748', '0.472']",233.0,1231,1349,778,825,1036.0,Primary,0.14,0.748,0.472,1,1,444.752,444.175,1,1,749.814,589.996,1.0,0.11,0.937,0.287,0.13,0.701,0.349,1,7
16,1011,63,78,1,F,205.974,4,6,"[7, 8, 6]","['0.17', '0.232', '0.465']",230.0,1181,1242,812,856,1073.0,Primary,0.17,0.232,0.465,1,1,177.492,727.548,2,2,176.283,122.205,1.0,0.22,0.209,0.711,0.24,0.153,0.573,1,7
17,1012,48,48,1,F,764.007,4,5,"[7, 10, 9]","['0.17', '0.955', '0.835']",414.0,1178,1188,852,823,1034.0,Primary,0.17,0.955,0.835,1,1,768.714,785.188,1,1,236.665,198.948,1.0,0.13,0.281,0.619,0.15,0.211,0.613,1,7
18,1013,46,44,1,M,778.264,3,5,"[1, 4, 7]","['0.11', '0.681', '0.484']",239.0,1228,1313,727,738,998.0,Primary,0.11,0.681,0.484,1,1,565.644,578.884,3,1,24.344,303.393,1.0,0.36,0.027,0.966,0.18,0.284,0.926,1,7
19,1014,56,64,1,M,651.431,4,6,"[2, 1, 7]","['0.12', '0.448', '0.695']",344.0,1056,1130,762,816,904.0,Primary,0.12,0.448,0.695,1,1,646.798,732.677,1,1,620.016,628.419,1.0,0.16,0.659,0.65,0.2,0.55,0.665,1,7
20,1015,47,46,1,F,541.696,4,5,"[8, 1, 6]","['0.18', '0.372', '0.594']",293.0,1226,1324,760,885,1077.0,Primary,0.18,0.372,0.594,1,1,137.162,796.55,1,1,499.203,688.705,1.0,0.15,0.468,0.489,0.16,0.732,0.698,1,7
21,1016,48,48,1,F,161.272,4,5,"[5, 3, 3]","['0.15', '0.131', '0.802']",396.0,1356,,837,886,1060.0,Primary,0.15,0.131,0.802,1,,733.951,,2,3,669.015,495.505,1.0,0.38,0.627,0.516,0.42,0.403,0.414,1,7
22,1017,56,64,1,F,604.352,4,6,"[3, 5, 2]","['0.13', '0.567', '0.78']",386.0,1244,1305,857,891,1030.0,Primary,0.13,0.567,0.78,1,1,413.703,729.609,1,1,688.255,60.17,1.0,0.18,0.559,0.986,0.2,0.068,0.801,1,7
23,1018,56,64,1,F,415.737,4,6,"[7, 3, 6]","['0.17', '0.338', '0.486']",241.0,1250,1306,806,880,1033.0,Primary,0.17,0.338,0.486,1,1,513.935,550.034,1,2,261.686,217.154,1.0,0.2,0.262,0.62,0.24,0.231,0.579,1,7
24,1019,47,46,1,M,695.679,4,5,"[7, 2, 10]","['0.17', '0.522', '0.487']",240.0,1157,1172,824,876,940.0,Primary,0.17,0.522,0.487,1,1,778.882,703.048,1,1,304.307,38.896,1.0,0.12,0.342,0.981,0.12,0.044,0.974,1,7
25,102,16,62,2,F,216.389,1,2,"[2, 8, 10]","['0.24', '0.243', '0.926']",440.0,598,692,,,177.0,Lower Secondary,0.24,0.243,0.926,1,1,225.51,242.36,,,,,3.0,,,,,,,1,7
26,1020,56,64,1,M,370.115,4,6,"[3, 9, 6]","['0.13', '0.44', '0.978']",482.0,1180,1254,758,780,1023.0,Primary,0.13,0.44,0.978,1,1,792.201,735.824,2,2,120.802,57.212,1.0,0.28,0.121,0.494,0.28,0.057,0.491,1,7
27,1021,48,48,1,M,651.263,4,5,"[6, 8, 1]","['0.16', '0.733', '0.654']",323.0,1201,1298,846,893,970.0,Primary,0.16,0.733,0.654,2,1,697.173,773.663,1,1,657.64,792.149,3.0,0.13,0.699,0.627,0.13,0.842,0.748,1,7
28,1022,57,66,1,F,337.289,4,6,"[6, 6, 8]","['0.16', '0.337', '0.715']",354.0,1227,1286,790,805,1072.0,Primary,0.16,0.337,0.715,1,1,637.394,657.957,2,3,492.131,730.101,1.0,0.36,0.523,0.786,0.45,0.548,0.781,1,7
29,1023,56,64,1,F,311.522,5,6,"[5, 3, 7]","['0.15', '0.253', '0.962']",476.0,1180,1254,890,892,1020.0,Primary,0.15,0.253,0.962,1,1,792.201,735.824,1,1,350.659,798.983,1.0,0.16,0.285,0.645,0.14,0.549,0.622,1,7
30,1024,56,64,2,M,625.206,4,6,"[8, 3, 10]","['0.36', '0.508', '0.584']",288.0,1197,1253,872,900,1028.0,Lower Secondary,0.36,0.508,0.584,2,1,577.008,34.742,3,1,61.975,376.533,2.0,0.57,0.05,0.786,0.18,0.447,0.499,1,7
31,1025,57,66,1,F,245.497,4,6,"[1, 1, 5]","['0.11', '0.169', '0.694']",342.0,1202,1272,807,791,1047.0,Primary,0.11,0.169,0.694,1,1,374.139,569.119,1,1,176.787,17.132,1.0,0.14,0.221,0.352,0.11,0.018,0.4,1,7
32,1026,56,64,1,F,144.027,4,6,"[3, 10, 4]","['0.13', '0.18', '0.735']",363.0,1191,1223,796,845,1040.0,Primary,0.13,0.18,0.735,1,1,437.466,458.87,2,2,63.856,255.595,1.0,0.38,0.064,0.6,0.4,0.224,0.579,1,7
33,1027,62,76,1,F,556.242,5,6,"[4, 3, 9]","['0.14', '0.452', '0.265']",131.0,1239,1275,841,956,1038.0,Primary,0.14,0.452,0.265,1,1,732.429,616.042,1,1,629.27,744.382,1.0,0.19,0.59,0.55,0.16,0.744,0.624,1,7
