,AgentID,Step,Age,Edu_level,Gender,Income,Generation,Cohort,Weight,Capital,Brut,Child1,Child2,Mother,Father,Partner,Education,Cultural,Economic,Social,Child1_Edu,Child2_Edu,Child1_Income,Child2_Income,Mother_Edu,Father_Edu,Mother_Income,Father_Income,Spouse_Edu,Mother_Cultural,Mother_Economic,Mother_Social,Father_Cultural,Father_Economic,Father_Social,Scenario,Replication
0,0,29,74,4,F,516.698,1,3,"[3, 3, 1]","['0.52', '0.42', '0.577']",274.0,605,701,,,135.0,Lower Tertiary,0.52,0.42,0.577,4,3,419.419,210.109,,,,,4.0,,,,,,,4,5
1,1,12,51,4,F,361.854,1,2,"[3, 8, 2]","['0.52', '0.407', '0.6']",267.0,525,655,,,252.0,Lower Tertiary,0.52,0.407,0.6,4,5,385.712,539.757,,,,,4.0,,,,,,,4,5
2,10,12,63,2,M,599.518,1,2,"[10, 6, 1]","['0.4', '0.6', '0.611']",302.0,503,545,,,440.0,Lower Secondary,0.4,0.6,0.611,3,3,619.287,739.513,,,,,2.0,,,,,,,4,5
3,100,0,44,3,M,629.639,1,1,"[1, 7, 9]","['0.33', '0.669', '0']",,,,,,,Upper Secondary,0.33,0.669,0,,,,,,,,,,,,,,,,4,5
4,1000,43,34,3,M,635.065,4,5,"[8, 1, 4]","['0.54', '0.437', '0.978']",484.0,1159,1176,903,927,949.0,Upper Secondary,0.54,0.437,0.978,3,4,678.02,781.196,3,3,19.898,584.987,3.0,0.39,0.024,0.934,0.57,0.731,0.816,4,5
5,1001,52,52,1,M,760.262,4,6,"[6, 1, 2]","['0.16', '0.523', '0.745']",369.0,1382,1441,832,828,1187.0,Primary,0.16,0.523,0.745,4,1,781.487,760.268,1,1,726.579,327.225,1.0,0.2,0.545,0.99,0.19,0.327,0.78,4,5
6,1002,42,32,3,M,146.133,4,5,"[10, 5, 2]","['0.6', '0.137', '0.681']",338.0,1213,1240,858,716,985.0,Upper Secondary,0.6,0.137,0.681,4,3,496.418,668.964,5,5,602.752,481.54,3.0,0.55,0.49,0.928,0.55,0.391,0.924,4,5
7,1003,57,62,4,M,799.986,4,6,"[10, 4, 10]","['0.8', '0.7', '0.94']",467.0,1203,1233,901,868,1024.0,Lower Tertiary,0.8,0.7,0.94,5,5,684.291,348.82,2,2,798.687,784.426,4.0,0.28,0.998,0.87,0.24,0.539,0.94,4,5
8,1004,53,54,5,F,739.106,4,6,"[5, 5, 3]","['0.75', '0.693', '0.934']",464.0,1190,1276,785,736,1031.0,Upper Tertiary,0.75,0.693,0.934,4,5,27.951,688.79,5,5,564.827,737.676,5.0,0.7,0.53,0.851,0.8,0.922,0.966,4,5
9,1005,53,54,5,F,640.874,4,6,"[4, 4, 6]","['0.7', '0.561', '0.996']",495.0,1187,1251,885,849,925.0,Upper Tertiary,0.7,0.561,0.996,1,4,297.543,228.407,5,5,795.891,682.036,5.0,0.95,0.746,0.719,0.7,0.639,0.529,4,5
10,1006,44,36,4,M,660.727,4,5,"[8, 10, 6]","['0.72', '0.826', '0.772']",383.0,1161,1207,749,778,952.0,Lower Tertiary,0.72,0.826,0.772,5,5,771.335,782.492,4,4,120.911,323.629,4.0,0.64,0.083,0.841,0.72,0.384,0.873,4,5
11,1007,52,52,3,F,748.582,4,6,"[5, 10, 9]","['0.45', '0.936', '0.984']",487.0,1264,1282,899,929,1056.0,Upper Secondary,0.45,0.936,0.984,2,5,753.802,785.561,4,4,322.826,718.937,3.0,0.56,0.404,0.732,0.6,0.539,0.89,4,5
12,1008,53,54,3,F,742.798,4,6,"[6, 2, 5]","['0.48', '0.557', '0.891']",442.0,1275,1303,879,888,1058.0,Upper Secondary,0.48,0.557,0.891,4,5,383.247,388.092,2,2,783.346,520.224,3.0,0.36,0.734,0.454,0.4,0.618,0.728,4,5
13,1009,55,58,5,M,656.208,4,6,"[9, 4, 4]","['0.95', '0.574', '0.984']",486.0,1241,1308,750,837,1059.0,Upper Tertiary,0.95,0.574,0.984,5,5,305.495,453.004,4,4,665.094,720.285,5.0,0.72,0.665,0.735,0.76,0.72,0.689,4,5
